source,target,num_occurences,is_common,source_btwn_c,target_btwn_c,source_btwn_c_rank,target_btwn_c_rank,source_eigen_c,target_eigen_c,source_eigen_c_rank,target_eigen_c_rank,source_duration,target_duration,source_duration_rank,target_duration_rank
Chaeyoung,Jihyo,1,0,0.1113,0.3113,6th,1st,0.2505,0.4259,8th,1st,14.59,33.907,7th,2nd
Chaeyoung,Nayeon,1,1,0.1113,0.2167,6th,2nd,0.2505,0.4003,8th,3rd,14.59,34.708,7th,1st
Dahyun,Chaeyoung,1,1,0.0268,0.1113,9th,6th,0.1791,0.2505,9th,8th,19.648,14.59,5th,7th
Dahyun,Jihyo,1,1,0.0268,0.3113,9th,1st,0.1791,0.4259,9th,1st,19.648,33.907,5th,2nd
Jeongyeon,Momo,1,0,0.1107,0.128,7th,5th,0.3475,0.2755,4th,7th,13.21,11.483,8th,9th
Jeongyeon,Tzuyu,1,0,0.1107,0.0851,7th,8th,0.3475,0.3145,4th,5th,13.21,28.034,8th,3rd
Jihyo,Dahyun,2,1,0.3113,0.0268,1st,9th,0.4259,0.1791,1st,9th,33.907,19.648,2nd,5th
Jihyo,Jeongyeon,1,1,0.3113,0.1107,1st,7th,0.4259,0.3475,1st,4th,33.907,13.21,2nd,8th
Jihyo,Nayeon,1,1,0.3113,0.2167,1st,2nd,0.4259,0.4003,1st,3rd,33.907,34.708,2nd,1st
Mina,Chaeyoung,1,0,0.153,0.1113,3rd,6th,0.4165,0.2505,2nd,8th,19.587,14.59,6th,7th
Mina,Sana,1,1,0.153,0.1429,3rd,4th,0.4165,0.3075,2nd,6th,19.587,22.176,6th,4th
Momo,Jihyo,1,0,0.128,0.3113,5th,1st,0.2755,0.4259,7th,1st,11.483,33.907,9th,2nd
Momo,Mina,1,1,0.128,0.153,5th,3rd,0.2755,0.4165,7th,2nd,11.483,19.587,9th,6th
Momo,Nayeon,1,1,0.128,0.2167,5th,2nd,0.2755,0.4003,7th,3rd,11.483,34.708,9th,1st
Nayeon,Jeongyeon,1,1,0.2167,0.1107,2nd,7th,0.4003,0.3475,3rd,4th,34.708,13.21,1st,8th
Nayeon,Mina,1,1,0.2167,0.153,2nd,3rd,0.4003,0.4165,3rd,2nd,34.708,19.587,1st,6th
Nayeon,Tzuyu,2,1,0.2167,0.0851,2nd,8th,0.4003,0.3145,3rd,5th,34.708,28.034,1st,3rd
Sana,Jihyo,1,0,0.1429,0.3113,4th,1st,0.3075,0.4259,6th,1st,22.176,33.907,4th,2nd
Sana,Momo,2,0,0.1429,0.128,4th,5th,0.3075,0.2755,6th,7th,22.176,11.483,4th,9th
Tzuyu,Mina,1,1,0.0851,0.153,8th,3rd,0.3145,0.4165,5th,2nd,28.034,19.587,3rd,6th
Tzuyu,Sana,2,1,0.0851,0.1429,8th,4th,0.3145,0.3075,5th,6th,28.034,22.176,3rd,4th
