source,target,num_occurences,is_common,source_btwn_c,target_btwn_c,source_btwn_c_rank,target_btwn_c_rank,source_eigen_c,target_eigen_c,source_eigen_c_rank,target_eigen_c_rank,source_duration,target_duration,source_duration_rank,target_duration_rank
Chaeyoung,Dahyun,3,1,0.125,0.125,5th,7th,0.1002,0.0461,8th,9th,11.117,10.823,7th,8th
Dahyun,Chaeyoung,2,1,0.125,0.125,7th,5th,0.0461,0.1002,9th,8th,10.823,11.117,8th,7th
Dahyun,Tzuyu,1,0,0.125,0.2143,7th,4th,0.0461,0.4154,9th,2nd,10.823,12.042,8th,6th
Jeongyeon,Jihyo,3,1,0.125,0.4643,5th,2nd,0.3529,0.3721,6th,5th,16.084,38.303,4th,2nd
Jihyo,Jeongyeon,1,1,0.4643,0.125,2nd,5th,0.3721,0.3529,5th,6th,38.303,16.084,2nd,4th
Jihyo,Nayeon,3,1,0.4643,0.4107,2nd,3rd,0.3721,0.1714,5th,7th,38.303,40.284,2nd,1st
Mina,Jihyo,1,1,0.5089,0.4643,1st,2nd,0.4549,0.3721,1st,5th,24.235,38.303,3rd,2nd
Mina,Momo,1,1,0.5089,0.0714,1st,8th,0.4549,0.3941,1st,4th,24.235,10.784,3rd,9th
Mina,Sana,1,1,0.5089,0.0446,1st,9th,0.4549,0.4008,1st,3rd,24.235,14.079,3rd,5th
Mina,Tzuyu,1,0,0.5089,0.2143,1st,4th,0.4549,0.4154,1st,2nd,24.235,12.042,3rd,6th
Momo,Jeongyeon,2,1,0.0714,0.125,8th,5th,0.3941,0.3529,4th,6th,10.784,16.084,9th,4th
Nayeon,Chaeyoung,1,0,0.4107,0.125,3rd,5th,0.1714,0.1002,7th,8th,40.284,11.117,1st,7th
Nayeon,Mina,2,1,0.4107,0.5089,3rd,1st,0.1714,0.4549,7th,1st,40.284,24.235,1st,3rd
Sana,Mina,1,0,0.0446,0.5089,9th,1st,0.4008,0.4549,3rd,1st,14.079,24.235,5th,3rd
Sana,Momo,1,0,0.0446,0.0714,9th,8th,0.4008,0.3941,3rd,4th,14.079,10.784,5th,9th
Sana,Tzuyu,2,1,0.0446,0.2143,9th,4th,0.4008,0.4154,3rd,2nd,14.079,12.042,5th,6th
Tzuyu,Mina,1,1,0.2143,0.5089,4th,1st,0.4154,0.4549,2nd,1st,12.042,24.235,6th,3rd
Tzuyu,Sana,3,1,0.2143,0.0446,4th,9th,0.4154,0.4008,2nd,3rd,12.042,14.079,6th,5th
