source,target,num_occurences,is_common,source_btwn_c,target_btwn_c,source_btwn_c_rank,target_btwn_c_rank,source_eigen_c,target_eigen_c,source_eigen_c_rank,target_eigen_c_rank,source_duration,target_duration,source_duration_rank,target_duration_rank
Chaeyoung,Dahyun,1,1,0.2348,0.2568,3rd,2nd,0.4238,0.3693,1st,3rd,12.184,12.319,7th,6th
Chaeyoung,Mina,1,0,0.2348,0.1298,3rd,5th,0.4238,0.3017,1st,6th,12.184,20.697,7th,4th
Dahyun,Jihyo,1,1,0.2568,0.1887,2nd,4th,0.3693,0.3079,3rd,5th,12.319,29.299,6th,3rd
Dahyun,Momo,4,0,0.2568,0.031,2nd,9th,0.3693,0.1549,3rd,9th,12.319,7.004,6th,9th
Jeongyeon,Jihyo,2,1,0.1235,0.1887,6th,4th,0.3648,0.3079,4th,5th,31.836,29.299,2nd,3rd
Jeongyeon,Nayeon,1,0,0.1235,0.2685,6th,1st,0.3648,0.4069,4th,2nd,31.836,45.27,2nd,1st
Jihyo,Chaeyoung,1,1,0.1887,0.2348,4th,3rd,0.3079,0.4238,5th,1st,29.299,12.184,3rd,7th
Jihyo,Jeongyeon,1,1,0.1887,0.1235,4th,6th,0.3079,0.3648,5th,4th,29.299,31.836,3rd,2nd
Jihyo,Nayeon,1,1,0.1887,0.2685,4th,1st,0.3079,0.4069,5th,2nd,29.299,45.27,3rd,1st
Mina,Dahyun,1,0,0.1298,0.2568,5th,2nd,0.3017,0.3693,6th,3rd,20.697,12.319,4th,6th
Mina,Tzuyu,1,0,0.1298,0.1018,5th,7th,0.3017,0.2972,6th,7th,20.697,10.119,4th,8th
Momo,Dahyun,3,0,0.031,0.2568,9th,2nd,0.1549,0.3693,9th,3rd,7.004,12.319,9th,6th
Momo,Jeongyeon,1,1,0.031,0.1235,9th,6th,0.1549,0.3648,9th,4th,7.004,31.836,9th,2nd
Nayeon,Chaeyoung,1,0,0.2685,0.2348,1st,3rd,0.4069,0.4238,2nd,1st,45.27,12.184,1st,7th
Nayeon,Jeongyeon,1,1,0.2685,0.1235,1st,6th,0.4069,0.3648,2nd,4th,45.27,31.836,1st,2nd
Nayeon,Sana,1,0,0.2685,0.0759,1st,8th,0.4069,0.2954,2nd,8th,45.27,17.753,1st,5th
Nayeon,Tzuyu,1,1,0.2685,0.1018,1st,7th,0.4069,0.2972,2nd,7th,45.27,10.119,1st,8th
Sana,Chaeyoung,1,0,0.0759,0.2348,8th,3rd,0.2954,0.4238,8th,1st,17.753,12.184,5th,7th
Sana,Mina,1,0,0.0759,0.1298,8th,5th,0.2954,0.3017,8th,6th,17.753,20.697,5th,4th
Tzuyu,Nayeon,1,0,0.1018,0.2685,7th,1st,0.2972,0.4069,7th,2nd,10.119,45.27,8th,1st
Tzuyu,Sana,1,1,0.1018,0.0759,7th,8th,0.2972,0.2954,7th,8th,10.119,17.753,8th,5th
