source,target,num_occurences,is_common,source_btwn_c,target_btwn_c,source_btwn_c_rank,target_btwn_c_rank,source_eigen_c,target_eigen_c,source_eigen_c_rank,target_eigen_c_rank,source_duration,target_duration,source_duration_rank,target_duration_rank
Chaeyoung,Jihyo,1,0,0.128,0.0863,4th,7th,0.4133,0.3501,2nd,4th,9.26,24.14,9th,2nd
Chaeyoung,Sana,1,0,0.128,0.131,4th,3rd,0.4133,0.3192,2nd,6th,9.26,16.321,9th,6th
Dahyun,Chaeyoung,1,1,0.1071,0.128,6th,4th,0.2363,0.4133,7th,2nd,11.921,9.26,8th,9th
Dahyun,Mina,1,0,0.1071,0.3601,6th,1st,0.2363,0.394,7th,3rd,11.921,29.56,8th,1st
Jeongyeon,Dahyun,1,0,0.0685,0.1071,9th,6th,0.1948,0.2363,9th,7th,17.52,11.921,4th,8th
Jeongyeon,Tzuyu,1,0,0.0685,0.0744,9th,8th,0.1948,0.2229,9th,8th,17.52,16.66,4th,5th
Jihyo,Dahyun,1,1,0.0863,0.1071,7th,6th,0.3501,0.2363,4th,7th,24.14,11.921,2nd,8th
Jihyo,Nayeon,1,1,0.0863,0.1131,7th,5th,0.3501,0.3227,4th,5th,24.14,23.98,2nd,3rd
Mina,Chaeyoung,1,0,0.3601,0.128,1st,4th,0.394,0.4133,3rd,2nd,29.56,9.26,1st,9th
Mina,Jihyo,1,1,0.3601,0.0863,1st,7th,0.394,0.3501,3rd,4th,29.56,24.14,1st,2nd
Mina,Momo,1,1,0.3601,0.2173,1st,2nd,0.394,0.4492,3rd,1st,29.56,15.52,1st,7th
Mina,Nayeon,2,1,0.3601,0.1131,1st,5th,0.394,0.3227,3rd,5th,29.56,23.98,1st,3rd
Momo,Jeongyeon,2,1,0.2173,0.0685,2nd,9th,0.4492,0.1948,1st,9th,15.52,17.52,7th,4th
Momo,Mina,1,1,0.2173,0.3601,2nd,1st,0.4492,0.394,1st,3rd,15.52,29.56,7th,1st
Nayeon,Chaeyoung,1,0,0.1131,0.128,5th,4th,0.3227,0.4133,5th,2nd,23.98,9.26,3rd,9th
Nayeon,Momo,1,0,0.1131,0.2173,5th,2nd,0.3227,0.4492,5th,1st,23.98,15.52,3rd,7th
Nayeon,Sana,1,0,0.1131,0.131,5th,3rd,0.3227,0.3192,5th,6th,23.98,16.321,3rd,6th
Sana,Momo,1,0,0.131,0.2173,3rd,2nd,0.3192,0.4492,6th,1st,16.321,15.52,6th,7th
Sana,Tzuyu,1,1,0.131,0.0744,3rd,8th,0.3192,0.2229,6th,8th,16.321,16.66,6th,5th
Tzuyu,Mina,2,1,0.0744,0.3601,8th,1st,0.2229,0.394,8th,3rd,16.66,29.56,5th,1st
