source,target,num_occurences,is_common,source_btwn_c,target_btwn_c,source_btwn_c_rank,target_btwn_c_rank,source_eigen_c,target_eigen_c,source_eigen_c_rank,target_eigen_c_rank,source_duration,target_duration,source_duration_rank,target_duration_rank
Chaeyoung,Dahyun,2,1,0.314,0.0372,2nd,5th,0.5212,0.1918,1st,8th,24.19,11.6,3rd,8th
Chaeyoung,Mina,1,0,0.314,0.0244,2nd,6th,0.5212,0.3612,1st,4th,24.19,13.82,3rd,7th
Chaeyoung,Nayeon,6,1,0.314,0.3586,2nd,1st,0.5212,0.4008,1st,3rd,24.19,47.109,3rd,1st
Chaeyoung,Sana,1,0,0.314,0.1107,2nd,3rd,0.5212,0.4454,1st,2nd,24.19,20.395,3rd,4th
Dahyun,Chaeyoung,4,1,0.0372,0.314,5th,2nd,0.1918,0.5212,8th,1st,11.6,24.19,8th,3rd
Dahyun,Jeongyeon,1,0,0.0372,0.0482,5th,4th,0.1918,0.2854,8th,5th,11.6,17.167,8th,5th
Jeongyeon,Chaeyoung,2,0,0.0482,0.314,4th,2nd,0.2854,0.5212,5th,1st,17.167,24.19,5th,3rd
Jeongyeon,Mina,1,0,0.0482,0.0244,4th,6th,0.2854,0.3612,5th,4th,17.167,13.82,5th,7th
Jeongyeon,Momo,1,0,0.0482,0.014,4th,8th,0.2854,0.2053,5th,7th,17.167,11.153,5th,9th
Jihyo,Dahyun,3,1,0.0179,0.0372,7th,5th,0.1199,0.1918,9th,8th,26.381,11.6,2nd,8th
Jihyo,Nayeon,1,1,0.0179,0.3586,7th,1st,0.1199,0.4008,9th,3rd,26.381,47.109,2nd,1st
Mina,Chaeyoung,1,0,0.0244,0.314,6th,2nd,0.3612,0.5212,4th,1st,13.82,24.19,7th,3rd
Mina,Jeongyeon,1,0,0.0244,0.0482,6th,4th,0.3612,0.2854,4th,5th,13.82,17.167,7th,5th
Mina,Sana,1,1,0.0244,0.1107,6th,3rd,0.3612,0.4454,4th,2nd,13.82,20.395,7th,4th
Momo,Chaeyoung,2,0,0.014,0.314,8th,2nd,0.2053,0.5212,7th,1st,11.153,24.19,9th,3rd
Momo,Sana,1,0,0.014,0.1107,8th,3rd,0.2053,0.4454,7th,2nd,11.153,20.395,9th,4th
Nayeon,Jeongyeon,2,1,0.3586,0.0482,1st,4th,0.4008,0.2854,3rd,5th,47.109,17.167,1st,5th
Nayeon,Jihyo,4,1,0.3586,0.0179,1st,7th,0.4008,0.1199,3rd,9th,47.109,26.381,1st,2nd
Nayeon,Mina,1,1,0.3586,0.0244,1st,6th,0.4008,0.3612,3rd,4th,47.109,13.82,1st,7th
Nayeon,Momo,2,0,0.3586,0.014,1st,8th,0.4008,0.2053,3rd,7th,47.109,11.153,1st,9th
Nayeon,Sana,1,0,0.3586,0.1107,1st,3rd,0.4008,0.4454,3rd,2nd,47.109,20.395,1st,4th
Nayeon,Tzuyu,1,1,0.3586,0.0036,1st,9th,0.4008,0.2532,3rd,6th,47.109,16.686,1st,6th
Sana,Chaeyoung,1,0,0.1107,0.314,3rd,2nd,0.4454,0.5212,2nd,1st,20.395,24.19,4th,3rd
Sana,Nayeon,1,0,0.1107,0.3586,3rd,1st,0.4454,0.4008,2nd,3rd,20.395,47.109,4th,1st
Sana,Tzuyu,2,1,0.1107,0.0036,3rd,9th,0.4454,0.2532,2nd,6th,20.395,16.686,4th,6th
Tzuyu,Chaeyoung,1,0,0.0036,0.314,9th,2nd,0.2532,0.5212,6th,1st,16.686,24.19,6th,3rd
Tzuyu,Nayeon,2,0,0.0036,0.3586,9th,1st,0.2532,0.4008,6th,3rd,16.686,47.109,6th,1st
