source,target,num_occurences,is_common,source_btwn_c,target_btwn_c,source_btwn_c_rank,target_btwn_c_rank,source_eigen_c,target_eigen_c,source_eigen_c_rank,target_eigen_c_rank,source_duration,target_duration,source_duration_rank,target_duration_rank
Chaeyoung,Dahyun,1,1,0.0,0.0488,9th,6th,0.1154,0.316,9th,7th,9.44,12.16,9th,6th
Chaeyoung,Momo,2,0,0.0,0.1363,9th,2nd,0.1154,0.3752,9th,2nd,9.44,13.26,9th,5th
Chaeyoung,Tzuyu,2,0,0.0,0.264,9th,1st,0.1154,0.4879,9th,1st,9.44,22.24,9th,3rd
Dahyun,Jihyo,2,1,0.0488,0.0283,6th,7th,0.316,0.3249,7th,5th,12.16,29.38,6th,2nd
Dahyun,Mina,2,0,0.0488,0.0976,6th,3rd,0.316,0.3577,7th,3rd,12.16,15.52,6th,4th
Dahyun,Nayeon,1,0,0.0488,0.0551,6th,5th,0.316,0.3249,7th,5th,12.16,43.46,6th,1st
Dahyun,Tzuyu,1,0,0.0488,0.264,6th,1st,0.316,0.4879,7th,1st,12.16,22.24,6th,3rd
Jeongyeon,Sana,1,0,0.006,0.0783,8th,4th,0.2403,0.3336,8th,4th,10.0,10.04,8th,7th
Jeongyeon,Tzuyu,2,0,0.006,0.264,8th,1st,0.2403,0.4879,8th,1st,10.0,22.24,8th,3rd
Jihyo,Momo,1,0,0.0283,0.1363,7th,2nd,0.3249,0.3752,5th,2nd,29.38,13.26,2nd,5th
Jihyo,Nayeon,3,1,0.0283,0.0551,7th,5th,0.3249,0.3249,5th,5th,29.38,43.46,2nd,1st
Jihyo,Sana,3,0,0.0283,0.0783,7th,4th,0.3249,0.3336,5th,4th,29.38,10.04,2nd,7th
Mina,Dahyun,2,0,0.0976,0.0488,3rd,6th,0.3577,0.316,3rd,7th,15.52,12.16,4th,6th
Mina,Jeongyeon,1,0,0.0976,0.006,3rd,8th,0.3577,0.2403,3rd,8th,15.52,10.0,4th,8th
Mina,Jihyo,1,1,0.0976,0.0283,3rd,7th,0.3577,0.3249,3rd,5th,15.52,29.38,4th,2nd
Mina,Nayeon,1,1,0.0976,0.0551,3rd,5th,0.3577,0.3249,3rd,5th,15.52,43.46,4th,1st
Mina,Sana,1,1,0.0976,0.0783,3rd,4th,0.3577,0.3336,3rd,4th,15.52,10.04,4th,7th
Mina,Tzuyu,1,0,0.0976,0.264,3rd,1st,0.3577,0.4879,3rd,1st,15.52,22.24,4th,3rd
Momo,Dahyun,1,0,0.1363,0.0488,2nd,6th,0.3752,0.316,2nd,7th,13.26,12.16,5th,6th
Momo,Jihyo,1,0,0.1363,0.0283,2nd,7th,0.3752,0.3249,2nd,5th,13.26,29.38,5th,2nd
Momo,Mina,1,1,0.1363,0.0976,2nd,3rd,0.3752,0.3577,2nd,3rd,13.26,15.52,5th,4th
Momo,Nayeon,5,1,0.1363,0.0551,2nd,5th,0.3752,0.3249,2nd,5th,13.26,43.46,5th,1st
Momo,Tzuyu,2,0,0.1363,0.264,2nd,1st,0.3752,0.4879,2nd,1st,13.26,22.24,5th,3rd
Nayeon,Jeongyeon,1,1,0.0551,0.006,5th,8th,0.3249,0.2403,5th,8th,43.46,10.0,1st,8th
Nayeon,Jihyo,3,1,0.0551,0.0283,5th,7th,0.3249,0.3249,5th,5th,43.46,29.38,1st,2nd
Nayeon,Momo,2,0,0.0551,0.1363,5th,2nd,0.3249,0.3752,5th,2nd,43.46,13.26,1st,5th
Nayeon,Tzuyu,3,1,0.0551,0.264,5th,1st,0.3249,0.4879,5th,1st,43.46,22.24,1st,3rd
Sana,Jeongyeon,1,0,0.0783,0.006,4th,8th,0.3336,0.2403,4th,8th,10.04,10.0,7th,8th
Sana,Mina,3,0,0.0783,0.0976,4th,3rd,0.3336,0.3577,4th,3rd,10.04,15.52,7th,4th
Sana,Momo,1,0,0.0783,0.1363,4th,2nd,0.3336,0.3752,4th,2nd,10.04,13.26,7th,5th
Sana,Tzuyu,3,1,0.0783,0.264,4th,1st,0.3336,0.4879,4th,1st,10.04,22.24,7th,3rd
Tzuyu,Chaeyoung,4,0,0.264,0.0,1st,9th,0.4879,0.1154,1st,9th,22.24,9.44,3rd,9th
Tzuyu,Dahyun,2,0,0.264,0.0488,1st,6th,0.4879,0.316,1st,7th,22.24,12.16,3rd,6th
Tzuyu,Mina,1,1,0.264,0.0976,1st,3rd,0.4879,0.3577,1st,3rd,22.24,15.52,3rd,4th
Tzuyu,Momo,4,0,0.264,0.1363,1st,2nd,0.4879,0.3752,1st,2nd,22.24,13.26,3rd,5th
Tzuyu,Sana,3,1,0.264,0.0783,1st,4th,0.4879,0.3336,1st,4th,22.24,10.04,3rd,7th
