source,target,num_occurences,is_common,source_btwn_c,target_btwn_c,source_btwn_c_rank,target_btwn_c_rank,source_eigen_c,target_eigen_c,source_eigen_c_rank,target_eigen_c_rank,source_duration,target_duration,source_duration_rank,target_duration_rank
Chaeyoung,Dahyun,1,1,0.1964,0.1667,1st,2nd,0.3566,0.355,1st,2th,13.864,16.125,6th,3rd
Chaeyoung,Jeongyeon,1,0,0.1964,0.0774,1st,6th,0.3566,0.355,1st,2th,13.864,14.73,6th,5th
Chaeyoung,Nayeon,2,1,0.1964,0.1161,1st,3rd,0.3566,0.3481,1st,4th,13.864,39.809,6th,1st
Dahyun,Jihyo,1,1,0.1667,0.0655,2nd,7th,0.355,0.2456,2th,9th,16.125,23.513,3rd,2nd
Dahyun,Mina,1,0,0.1667,0.0655,2nd,7th,0.355,0.3282,2th,6th,16.125,12.779,3rd,7th
Dahyun,Momo,2,0,0.1667,0.0982,2nd,4th,0.355,0.3213,2th,8th,16.125,11.458,3rd,9th
Dahyun,Tzuyu,1,0,0.1667,0.0833,2nd,5th,0.355,0.328,2th,7th,16.125,12.092,3rd,8th
Jeongyeon,Chaeyoung,1,0,0.0774,0.1964,6th,1st,0.355,0.3566,2th,1st,14.73,13.864,5th,6th
Jeongyeon,Jihyo,2,1,0.0774,0.0655,6th,7th,0.355,0.2456,2th,9th,14.73,23.513,5th,2nd
Jihyo,Mina,1,0,0.0655,0.0655,7th,7th,0.2456,0.3282,9th,6th,23.513,12.779,2nd,7th
Jihyo,Momo,1,0,0.0655,0.0982,7th,4th,0.2456,0.3213,9th,8th,23.513,11.458,2nd,9th
Jihyo,Tzuyu,1,0,0.0655,0.0833,7th,5th,0.2456,0.328,9th,7th,23.513,12.092,2nd,8th
Mina,Chaeyoung,1,0,0.0655,0.1964,7th,1st,0.3282,0.3566,6th,1st,12.779,13.864,7th,6th
Mina,Sana,2,1,0.0655,0.0595,7th,9th,0.3282,0.3475,6th,5th,12.779,15.524,7th,4th
Momo,Dahyun,2,0,0.0982,0.1667,4th,2nd,0.3213,0.355,8th,2th,11.458,16.125,9th,3rd
Momo,Jeongyeon,1,1,0.0982,0.0774,4th,6th,0.3213,0.355,8th,2th,11.458,14.73,9th,5th
Momo,Nayeon,1,1,0.0982,0.1161,4th,3rd,0.3213,0.3481,8th,4th,11.458,39.809,9th,1st
Nayeon,Dahyun,2,0,0.1161,0.1667,3rd,2nd,0.3481,0.355,4th,2th,39.809,16.125,1st,3rd
Nayeon,Jeongyeon,1,1,0.1161,0.0774,3rd,6th,0.3481,0.355,4th,2th,39.809,14.73,1st,5th
Nayeon,Mina,1,1,0.1161,0.0655,3rd,7th,0.3481,0.3282,4th,6th,39.809,12.779,1st,7th
Nayeon,Sana,1,0,0.1161,0.0595,3rd,9th,0.3481,0.3475,4th,5th,39.809,15.524,1st,4th
Sana,Chaeyoung,2,0,0.0595,0.1964,9th,1st,0.3475,0.3566,5th,1st,15.524,13.864,4th,6th
Sana,Tzuyu,2,1,0.0595,0.0833,9th,5th,0.3475,0.328,5th,7th,15.524,12.092,4th,8th
Tzuyu,Momo,1,0,0.0833,0.0982,5th,4th,0.328,0.3213,7th,8th,12.092,11.458,8th,9th
Tzuyu,Nayeon,1,0,0.0833,0.1161,5th,3rd,0.328,0.3481,7th,4th,12.092,39.809,8th,1st
Tzuyu,Sana,1,1,0.0833,0.0595,5th,9th,0.328,0.3475,7th,5th,12.092,15.524,8th,4th
