source,target,num_occurences,is_common,source_btwn_c,target_btwn_c,source_btwn_c_rank,target_btwn_c_rank,source_eigen_c,target_eigen_c,source_eigen_c_rank,target_eigen_c_rank,source_duration,target_duration,source_duration_rank,target_duration_rank
Chaeyoung,Dahyun,2,1,0.0845,0.0988,5th,3rd,0.4139,0.2829,3rd,6th,18.75,14.125,4th,7th
Chaeyoung,Momo,1,0,0.0845,0.0676,5th,6th,0.4139,0.2603,3rd,7th,18.75,14.093,4th,8th
Chaeyoung,Nayeon,1,1,0.0845,0.1497,5th,2nd,0.4139,0.4738,3rd,1st,18.75,37.611,4th,1st
Chaeyoung,Sana,1,0,0.0845,0.0348,5th,9th,0.4139,0.2988,3rd,5th,18.75,15.49,4th,5th
Dahyun,Jeongyeon,1,0,0.0988,0.0548,3rd,8th,0.2829,0.2031,6th,8th,14.125,14.636,7th,6th
Dahyun,Jihyo,1,1,0.0988,0.086,3rd,4th,0.2829,0.3531,6th,4th,14.125,31.541,7th,2nd
Dahyun,Nayeon,1,0,0.0988,0.1497,3rd,2nd,0.2829,0.4738,6th,1st,14.125,37.611,7th,1st
Dahyun,Sana,1,0,0.0988,0.0348,3rd,9th,0.2829,0.2988,6th,5th,14.125,15.49,7th,5th
Jeongyeon,Momo,1,0,0.0548,0.0676,8th,6th,0.2031,0.2603,8th,7th,14.636,14.093,6th,8th
Jeongyeon,Tzuyu,1,0,0.0548,0.0631,8th,7th,0.2031,0.1663,8th,9th,14.636,7.062,6th,9th
Jihyo,Chaeyoung,2,1,0.086,0.0845,4th,5th,0.3531,0.4139,4th,3rd,31.541,18.75,2nd,4th
Jihyo,Mina,2,0,0.086,0.2179,4th,1st,0.3531,0.4166,4th,2nd,31.541,23.108,2nd,3rd
Jihyo,Momo,2,0,0.086,0.0676,4th,6th,0.3531,0.2603,4th,7th,31.541,14.093,2nd,8th
Jihyo,Nayeon,1,1,0.086,0.1497,4th,2nd,0.3531,0.4738,4th,1st,31.541,37.611,2nd,1st
Mina,Chaeyoung,1,0,0.2179,0.0845,1st,5th,0.4166,0.4139,2nd,3rd,23.108,18.75,3rd,4th
Mina,Nayeon,2,1,0.2179,0.1497,1st,2nd,0.4166,0.4738,2nd,1st,23.108,37.611,3rd,1st
Mina,Sana,2,1,0.2179,0.0348,1st,9th,0.4166,0.2988,2nd,5th,23.108,15.49,3rd,5th
Mina,Tzuyu,1,0,0.2179,0.0631,1st,7th,0.4166,0.1663,2nd,9th,23.108,7.062,3rd,9th
Momo,Jihyo,3,0,0.0676,0.086,6th,4th,0.2603,0.3531,7th,4th,14.093,31.541,8th,2nd
Momo,Mina,1,1,0.0676,0.2179,6th,1st,0.2603,0.4166,7th,2nd,14.093,23.108,8th,3rd
Nayeon,Chaeyoung,1,0,0.1497,0.0845,2nd,5th,0.4738,0.4139,1st,3rd,37.611,18.75,1st,4th
Nayeon,Dahyun,1,0,0.1497,0.0988,2nd,3rd,0.4738,0.2829,1st,6th,37.611,14.125,1st,7th
Nayeon,Jeongyeon,1,1,0.1497,0.0548,2nd,8th,0.4738,0.2031,1st,8th,37.611,14.636,1st,6th
Nayeon,Jihyo,2,1,0.1497,0.086,2nd,4th,0.4738,0.3531,1st,4th,37.611,31.541,1st,2nd
Nayeon,Mina,1,1,0.1497,0.2179,2nd,1st,0.4738,0.4166,1st,2nd,37.611,23.108,1st,3rd
Sana,Chaeyoung,1,0,0.0348,0.0845,9th,5th,0.2988,0.4139,5th,3rd,15.49,18.75,5th,4th
Sana,Jihyo,1,0,0.0348,0.086,9th,4th,0.2988,0.3531,5th,4th,15.49,31.541,5th,2nd
Sana,Mina,1,0,0.0348,0.2179,9th,1st,0.2988,0.4166,5th,2nd,15.49,23.108,5th,3rd
Sana,Nayeon,1,0,0.0348,0.1497,9th,2nd,0.2988,0.4738,5th,1st,15.49,37.611,5th,1st
Tzuyu,Dahyun,1,0,0.0631,0.0988,7th,3rd,0.1663,0.2829,9th,6th,7.062,14.125,9th,7th
Tzuyu,Mina,1,1,0.0631,0.2179,7th,1st,0.1663,0.4166,9th,2nd,7.062,23.108,9th,3rd
