source,target,num_occurences,is_common,source_btwn_c,target_btwn_c,source_btwn_c_rank,target_btwn_c_rank,source_eigen_c,target_eigen_c,source_eigen_c_rank,target_eigen_c_rank,source_duration,target_duration,source_duration_rank,target_duration_rank
Chaeyoung,Dahyun,1,1,0.125,0.125,4th,4th,0.0982,0.2602,9th,6th,8.508,4.958,7th,9th
Chaeyoung,Mina,1,0,0.125,0.2857,4th,2nd,0.0982,0.381,9th,2nd,8.508,17.024,7th,3rd
Dahyun,Chaeyoung,2,1,0.125,0.125,4th,4th,0.2602,0.0982,6th,9th,4.958,8.508,9th,7th
Jeongyeon,Jihyo,1,1,0.0,0.5804,8th,1st,0.2231,0.5912,8th,1st,12.896,55.228,4th,1st
Jihyo,Dahyun,1,1,0.5804,0.125,1st,4th,0.5912,0.2602,1st,6th,55.228,4.958,1st,9th
Jihyo,Jeongyeon,1,1,0.5804,0.0,1st,8th,0.5912,0.2231,1st,8th,55.228,12.896,1st,4th
Jihyo,Mina,2,0,0.5804,0.2857,1st,2nd,0.5912,0.381,1st,2nd,55.228,17.024,1st,3rd
Jihyo,Nayeon,3,1,0.5804,0.1339,1st,3rd,0.5912,0.3202,1st,4th,55.228,41.458,1st,2nd
Mina,Jihyo,2,1,0.2857,0.5804,2nd,1st,0.381,0.5912,2nd,1st,17.024,55.228,3rd,1st
Mina,Sana,1,1,0.2857,0.1161,2nd,6th,0.381,0.3618,2nd,3rd,17.024,10.447,3rd,6th
Mina,Tzuyu,1,0,0.2857,0.0,2nd,8th,0.381,0.2803,2nd,5th,17.024,11.408,3rd,5th
Momo,Nayeon,1,1,0.0089,0.1339,7th,3rd,0.2574,0.3202,7th,4th,6.667,41.458,8th,2nd
Momo,Sana,1,0,0.0089,0.1161,7th,6th,0.2574,0.3618,7th,3rd,6.667,10.447,8th,6th
Nayeon,Jihyo,2,1,0.1339,0.5804,3rd,1st,0.3202,0.5912,4th,1st,41.458,55.228,2nd,1st
Nayeon,Mina,1,1,0.1339,0.2857,3rd,2nd,0.3202,0.381,4th,2nd,41.458,17.024,2nd,3rd
Nayeon,Momo,1,0,0.1339,0.0089,3rd,7th,0.3202,0.2574,4th,7th,41.458,6.667,2nd,8th
Nayeon,Sana,1,0,0.1339,0.1161,3rd,6th,0.3202,0.3618,4th,3rd,41.458,10.447,2nd,6th
Sana,Jihyo,1,0,0.1161,0.5804,6th,1st,0.3618,0.5912,3rd,1st,10.447,55.228,6th,1st
Sana,Momo,1,0,0.1161,0.0089,6th,7th,0.3618,0.2574,3rd,7th,10.447,6.667,6th,8th
Sana,Tzuyu,1,1,0.1161,0.0,6th,8th,0.3618,0.2803,3rd,5th,10.447,11.408,6th,5th
Tzuyu,Jihyo,2,0,0.0,0.5804,8th,1st,0.2803,0.5912,5th,1st,11.408,55.228,5th,1st
