source,target,num_occurences,is_common,source_btwn_c,target_btwn_c,source_btwn_c_rank,target_btwn_c_rank,source_eigen_c,target_eigen_c,source_eigen_c_rank,target_eigen_c_rank,source_duration,target_duration,source_duration_rank,target_duration_rank
Chaeyoung,Dahyun,1,1,0.0655,0.1607,6th,4th,0.3399,0.3956,5th,3rd,11.38,12.02,9th,8th
Chaeyoung,Jihyo,1,0,0.0655,0.3869,6th,1st,0.3399,0.5081,5th,1st,11.38,28.16,9th,1st
Chaeyoung,Nayeon,1,1,0.0655,0.3839,6th,2nd,0.3399,0.4244,5th,2nd,11.38,27.3,9th,2nd
Chaeyoung,Sana,1,0,0.0655,0.0,6th,8th,0.3399,0.2875,5th,6th,11.38,14.46,9th,4th
Dahyun,Chaeyoung,2,1,0.1607,0.0655,4th,6th,0.3956,0.3399,3rd,5th,12.02,11.38,8th,9th
Dahyun,Jihyo,3,1,0.1607,0.3869,4th,1st,0.3956,0.5081,3rd,1st,12.02,28.16,8th,1st
Jeongyeon,Jihyo,2,1,0.0655,0.3869,6th,1st,0.1911,0.5081,8th,1st,12.94,28.16,5th,1st
Jeongyeon,Tzuyu,1,0,0.0655,0.253,6th,3rd,0.1911,0.2038,8th,7th,12.94,19.76,5th,3rd
Jihyo,Chaeyoung,3,1,0.3869,0.0655,1st,6th,0.5081,0.3399,1st,5th,28.16,11.38,1st,9th
Jihyo,Jeongyeon,3,1,0.3869,0.0655,1st,6th,0.5081,0.1911,1st,8th,28.16,12.94,1st,5th
Jihyo,Momo,1,0,0.3869,0.131,1st,5th,0.5081,0.3508,1st,4th,28.16,12.78,1st,6th
Jihyo,Nayeon,1,1,0.3869,0.3839,1st,2nd,0.5081,0.4244,1st,2nd,28.16,27.3,1st,2nd
Mina,Nayeon,2,1,0.0,0.3839,8th,2nd,0.0766,0.4244,9th,2nd,12.14,27.3,7th,2nd
Momo,Tzuyu,2,0,0.131,0.253,5th,3rd,0.3508,0.2038,4th,7th,12.78,19.76,6th,3rd
Nayeon,Dahyun,1,0,0.3839,0.1607,2nd,4th,0.4244,0.3956,2nd,3rd,27.3,12.02,2nd,8th
Nayeon,Jihyo,2,1,0.3839,0.3869,2nd,1st,0.4244,0.5081,2nd,1st,27.3,28.16,2nd,1st
Nayeon,Momo,1,0,0.3839,0.131,2nd,5th,0.4244,0.3508,2nd,4th,27.3,12.78,2nd,6th
Nayeon,Sana,1,0,0.3839,0.0,2nd,8th,0.4244,0.2875,2nd,6th,27.3,14.46,2nd,4th
Sana,Dahyun,3,0,0.0,0.1607,8th,4th,0.2875,0.3956,6th,3rd,14.46,12.02,4th,8th
Tzuyu,Mina,2,1,0.253,0.0,3rd,8th,0.2038,0.0766,7th,9th,19.76,12.14,3rd,7th
Tzuyu,Nayeon,1,0,0.253,0.3839,3rd,2nd,0.2038,0.4244,7th,2nd,19.76,27.3,3rd,2nd
