source,target,num_occurences,is_common,source_btwn_c,target_btwn_c,source_btwn_c_rank,target_btwn_c_rank,source_eigen_c,target_eigen_c,source_eigen_c_rank,target_eigen_c_rank,source_duration,target_duration,source_duration_rank,target_duration_rank
Chaeyoung,Jihyo,2,0,0.1339,0.0536,4th,9th,0.3028,0.2973,6th,7th,16.58,15.44,2nd,4th
Chaeyoung,Nayeon,1,1,0.1339,0.1786,4th,3rd,0.3028,0.3723,6th,3rd,16.58,13.66,2nd,7th
Chaeyoung,Sana,1,0,0.1339,0.1131,4th,7th,0.3028,0.3805,6th,2nd,16.58,15.96,2nd,3rd
Dahyun,Chaeyoung,3,1,0.2381,0.1339,1st,4th,0.447,0.3028,1st,6th,19.62,16.58,1st,2nd
Dahyun,Tzuyu,3,0,0.2381,0.0982,1st,8th,0.447,0.3269,1st,4th,19.62,12.46,1st,8th
Jeongyeon,Chaeyoung,1,0,0.122,0.1339,6th,4th,0.2488,0.3028,9th,6th,13.9,16.58,5th,2nd
Jeongyeon,Nayeon,2,0,0.122,0.1786,6th,3rd,0.2488,0.3723,9th,3rd,13.9,13.66,5th,7th
Jihyo,Jeongyeon,2,1,0.0536,0.122,9th,6th,0.2973,0.2488,7th,9th,15.44,13.9,4th,5th
Jihyo,Sana,1,0,0.0536,0.1131,9th,7th,0.2973,0.3805,7th,2nd,15.44,15.96,4th,3rd
Mina,Momo,2,1,0.131,0.1994,5th,2nd,0.3042,0.2746,5th,8th,13.88,9.26,6th,9th
Mina,Nayeon,1,1,0.131,0.1786,5th,3rd,0.3042,0.3723,5th,3rd,13.88,13.66,6th,7th
Mina,Tzuyu,1,0,0.131,0.0982,5th,8th,0.3042,0.3269,5th,4th,13.88,12.46,6th,8th
Momo,Dahyun,1,0,0.1994,0.2381,2nd,1st,0.2746,0.447,8th,1st,9.26,19.62,9th,1st
Momo,Jeongyeon,1,1,0.1994,0.122,2nd,6th,0.2746,0.2488,8th,9th,9.26,13.9,9th,5th
Momo,Sana,1,0,0.1994,0.1131,2nd,7th,0.2746,0.3805,8th,2nd,9.26,15.96,9th,3rd
Nayeon,Dahyun,3,0,0.1786,0.2381,3rd,1st,0.3723,0.447,3rd,1st,13.66,19.62,7th,1st
Nayeon,Mina,1,1,0.1786,0.131,3rd,5th,0.3723,0.3042,3rd,5th,13.66,13.88,7th,6th
Sana,Dahyun,2,0,0.1131,0.2381,7th,1st,0.3805,0.447,2nd,1st,15.96,19.62,3rd,1st
Sana,Jihyo,1,0,0.1131,0.0536,7th,9th,0.3805,0.2973,2nd,7th,15.96,15.44,3rd,4th
Tzuyu,Mina,3,1,0.0982,0.131,8th,5th,0.3269,0.3042,4th,5th,12.46,13.88,8th,6th
Tzuyu,Momo,1,0,0.0982,0.1994,8th,2nd,0.3269,0.2746,4th,8th,12.46,9.26,8th,9th
