source,target,num_occurences,is_common,source_btwn_c,target_btwn_c,source_btwn_c_rank,target_btwn_c_rank,source_eigen_c,target_eigen_c,source_eigen_c_rank,target_eigen_c_rank,source_duration,target_duration,source_duration_rank,target_duration_rank
Chaeyoung,Jeongyeon,1,0,0.2426,0.1399,1st,4th,0.3639,0.3865,3rd,2nd,17.953,23.857,4th,3rd
Chaeyoung,Momo,1,0,0.2426,0.0179,1st,9th,0.3639,0.2791,3rd,6th,17.953,16.507,4th,7th
Chaeyoung,Nayeon,1,1,0.2426,0.1696,1st,2nd,0.3639,0.4723,3rd,1st,17.953,23.99,4th,2nd
Chaeyoung,Sana,1,0,0.2426,0.1042,1st,7th,0.3639,0.3219,3rd,5th,17.953,14.304,4th,9th
Dahyun,Chaeyoung,1,1,0.1235,0.2426,5th,1st,0.2369,0.3639,8th,3rd,14.42,17.953,8th,4th
Dahyun,Jihyo,1,1,0.1235,0.1429,5th,3rd,0.2369,0.273,8th,7th,14.42,29.62,8th,1st
Jeongyeon,Chaeyoung,2,0,0.1399,0.2426,4th,1st,0.3865,0.3639,2nd,3rd,23.857,17.953,3rd,4th
Jeongyeon,Dahyun,1,0,0.1399,0.1235,4th,5th,0.3865,0.2369,2nd,8th,23.857,14.42,3rd,8th
Jeongyeon,Mina,1,0,0.1399,0.122,4th,6th,0.3865,0.3613,2nd,4th,23.857,17.376,3rd,6th
Jihyo,Mina,2,0,0.1429,0.122,3rd,6th,0.273,0.3613,7th,4th,29.62,17.376,1st,6th
Jihyo,Nayeon,1,1,0.1429,0.1696,3rd,2nd,0.273,0.4723,7th,1st,29.62,23.99,1st,2nd
Jihyo,Tzuyu,1,0,0.1429,0.0804,3rd,8th,0.273,0.229,7th,9th,29.62,17.48,1st,5th
Mina,Jeongyeon,1,0,0.122,0.1399,6th,4th,0.3613,0.3865,4th,2nd,17.376,23.857,6th,3rd
Mina,Momo,2,1,0.122,0.0179,6th,9th,0.3613,0.2791,4th,6th,17.376,16.507,6th,7th
Mina,Nayeon,1,1,0.122,0.1696,6th,2nd,0.3613,0.4723,4th,1st,17.376,23.99,6th,2nd
Momo,Jeongyeon,2,1,0.0179,0.1399,9th,4th,0.2791,0.3865,6th,2nd,16.507,23.857,7th,3rd
Momo,Mina,1,1,0.0179,0.122,9th,6th,0.2791,0.3613,6th,4th,16.507,17.376,7th,6th
Nayeon,Jihyo,2,1,0.1696,0.1429,2nd,3rd,0.4723,0.273,1st,7th,23.99,29.62,2nd,1st
Nayeon,Sana,1,0,0.1696,0.1042,2nd,7th,0.4723,0.3219,1st,5th,23.99,14.304,2nd,9th
Sana,Chaeyoung,1,0,0.1042,0.2426,7th,1st,0.3219,0.3639,5th,3rd,14.304,17.953,9th,4th
Sana,Tzuyu,1,1,0.1042,0.0804,7th,8th,0.3219,0.229,5th,9th,14.304,17.48,9th,5th
Tzuyu,Dahyun,1,0,0.0804,0.1235,8th,5th,0.229,0.2369,9th,8th,17.48,14.42,5th,8th
Tzuyu,Nayeon,1,0,0.0804,0.1696,8th,2nd,0.229,0.4723,9th,1st,17.48,23.99,5th,2nd
