source,target,num_occurences,is_common,source_btwn_c,target_btwn_c,source_btwn_c_rank,target_btwn_c_rank,source_eigen_c,target_eigen_c,source_eigen_c_rank,target_eigen_c_rank,source_duration,target_duration,source_duration_rank,target_duration_rank
Chaeyoung,Dahyun,4,1,0.1875,0.1607,4th,7th,0.3193,0.2,5th,7th,21.006,13.251,4th,9th
Chaeyoung,Jeongyeon,1,0,0.1875,0.125,4th,9th,0.3193,0.4102,5th,4th,21.006,15.82,4th,8th
Chaeyoung,Jihyo,1,0,0.1875,0.3214,4th,1th,0.3193,0.4395,5th,3rd,21.006,21.08,4th,3rd
Dahyun,Chaeyoung,5,1,0.1607,0.1875,7th,4th,0.2,0.3193,7th,5th,13.251,21.006,9th,4th
Dahyun,Momo,1,0,0.1607,0.25,7th,3rd,0.2,0.4645,7th,1st,13.251,21.14,9th,2nd
Jeongyeon,Chaeyoung,1,0,0.125,0.1875,9th,4th,0.4102,0.3193,4th,5th,15.82,21.006,8th,4th
Jeongyeon,Mina,1,0,0.125,0.1339,9th,8th,0.4102,0.4577,4th,2nd,15.82,21.34,8th,1st
Jihyo,Nayeon,3,1,0.3214,0.3214,1th,1th,0.4395,0.23,3rd,6th,21.08,19.38,3rd,5th
Mina,Jihyo,1,1,0.1339,0.3214,8th,1th,0.4577,0.4395,2nd,3rd,21.34,21.08,1st,3rd
Mina,Momo,4,1,0.1339,0.25,8th,3rd,0.4577,0.4645,2nd,1st,21.34,21.14,1st,2nd
Momo,Jeongyeon,1,1,0.25,0.125,3rd,9th,0.4645,0.4102,1st,4th,21.14,15.82,2nd,8th
Momo,Mina,4,1,0.25,0.1339,3rd,8th,0.4645,0.4577,1st,2nd,21.14,21.34,2nd,1st
Nayeon,Momo,1,0,0.3214,0.25,1th,3rd,0.23,0.4645,6th,1st,19.38,21.14,5th,2nd
Nayeon,Tzuyu,2,1,0.3214,0.1696,1th,5th,0.23,0.1204,6th,8th,19.38,17.4,5th,7th
Sana,Dahyun,1,0,0.1696,0.1607,5th,7th,0.063,0.2,9th,7th,18.78,13.251,6th,9th
Sana,Jihyo,1,0,0.1696,0.3214,5th,1th,0.063,0.4395,9th,3rd,18.78,21.08,6th,3rd
Tzuyu,Sana,2,1,0.1696,0.1696,5th,5th,0.1204,0.063,8th,9th,17.4,18.78,7th,6th
