source,target,num_occurences,is_common,source_btwn_c,target_btwn_c,source_btwn_c_rank,target_btwn_c_rank,source_eigen_c,target_eigen_c,source_eigen_c_rank,target_eigen_c_rank,source_duration,target_duration,source_duration_rank,target_duration_rank
Chaeyoung,Dahyun,2,1,0.1339,0.0982,6th,8th,0.3768,0.4694,3rd,2nd,8.98,15.08,9th,4th
Chaeyoung,Sana,1,0,0.1339,0.2321,6th,3rd,0.3768,0.2807,3rd,7th,8.98,12.24,9th,6th
Dahyun,Chaeyoung,2,1,0.0982,0.1339,8th,6th,0.4694,0.3768,2nd,3rd,15.08,8.98,4th,9th
Dahyun,Jihyo,3,1,0.0982,0.4375,8th,1st,0.4694,0.4708,2nd,1st,15.08,40.88,4th,1st
Jeongyeon,Dahyun,1,0,0.0179,0.0982,9th,8th,0.3235,0.4694,5th,2nd,12.84,15.08,5th,4th
Jeongyeon,Jihyo,1,1,0.0179,0.4375,9th,1st,0.3235,0.4708,5th,1st,12.84,40.88,5th,1st
Jihyo,Chaeyoung,1,1,0.4375,0.1339,1st,6th,0.4708,0.3768,1st,3rd,40.88,8.98,1st,9th
Jihyo,Dahyun,2,1,0.4375,0.0982,1st,8th,0.4708,0.4694,1st,2nd,40.88,15.08,1st,4th
Jihyo,Jeongyeon,1,1,0.4375,0.0179,1st,9th,0.4708,0.3235,1st,5th,40.88,12.84,1st,5th
Jihyo,Mina,1,0,0.4375,0.1429,1st,5th,0.4708,0.3364,1st,4th,40.88,21.8,1st,2nd
Jihyo,Tzuyu,2,0,0.4375,0.1339,1st,6th,0.4708,0.3235,1st,5th,40.88,9.22,1st,8th
Mina,Jeongyeon,1,0,0.1429,0.0179,5th,9th,0.3364,0.3235,4th,5th,21.8,12.84,2nd,5th
Mina,Jihyo,2,1,0.1429,0.4375,5th,1st,0.3364,0.4708,4th,1st,21.8,40.88,2nd,1st
Mina,Tzuyu,1,0,0.1429,0.1339,5th,6th,0.3364,0.3235,4th,5th,21.8,9.22,2nd,8th
Momo,Nayeon,2,1,0.2321,0.2321,3rd,3rd,0.1125,0.0451,8th,9th,10.7,21.54,7th,3rd
Nayeon,Jihyo,2,1,0.2321,0.4375,3rd,1st,0.0451,0.4708,9th,1st,21.54,40.88,3rd,1st
Nayeon,Mina,1,1,0.2321,0.1429,3rd,5th,0.0451,0.3364,9th,4th,21.54,21.8,3rd,2nd
Sana,Momo,2,0,0.2321,0.2321,3rd,3rd,0.2807,0.1125,7th,8th,12.24,10.7,6th,7th
Tzuyu,Mina,2,1,0.1339,0.1429,6th,5th,0.3235,0.3364,5th,4th,9.22,21.8,8th,2nd
Tzuyu,Sana,1,1,0.1339,0.2321,6th,3rd,0.3235,0.2807,5th,7th,9.22,12.24,8th,6th
