source,target,num_occurences,is_common,source_btwn_c,target_btwn_c,source_btwn_c_rank,target_btwn_c_rank,source_eigen_c,target_eigen_c,source_eigen_c_rank,target_eigen_c_rank,source_duration,target_duration,source_duration_rank,target_duration_rank
Chaeyoung,Momo,2,0,0.0731,0.0625,5th,6th,0.2711,0.2049,8th,9th,12.269,10.598,8th,9th
Chaeyoung,Nayeon,1,1,0.0731,0.209,5th,2nd,0.2711,0.3688,8th,2nd,12.269,27.374,8th,1st
Dahyun,Chaeyoung,1,1,0.1412,0.0731,3rd,5th,0.3255,0.2711,5th,8th,14.454,12.269,7th,8th
Dahyun,Mina,1,0,0.1412,0.1371,3rd,4th,0.3255,0.348,5th,4th,14.454,17.465,7th,3rd
Dahyun,Momo,1,0,0.1412,0.0625,3rd,6th,0.3255,0.2049,5th,9th,14.454,10.598,7th,9th
Jeongyeon,Jihyo,2,1,0.0393,0.2415,9th,1st,0.3557,0.4641,3rd,1st,16.986,26.318,5th,2nd
Jeongyeon,Tzuyu,1,0,0.0393,0.0551,9th,8th,0.3557,0.3191,3rd,6th,16.986,17.333,5th,4th
Jihyo,Chaeyoung,2,1,0.2415,0.0731,1st,5th,0.4641,0.2711,1st,8th,26.318,12.269,2nd,8th
Jihyo,Dahyun,1,1,0.2415,0.1412,1st,3rd,0.4641,0.3255,1st,5th,26.318,14.454,2nd,7th
Jihyo,Sana,2,0,0.2415,0.0591,1st,7th,0.4641,0.2789,1st,7th,26.318,16.408,2nd,6th
Mina,Jeongyeon,1,0,0.1371,0.0393,4th,9th,0.348,0.3557,4th,3rd,17.465,16.986,3rd,5th
Mina,Jihyo,1,1,0.1371,0.2415,4th,1st,0.348,0.4641,4th,1st,17.465,26.318,3rd,2nd
Mina,Sana,1,1,0.1371,0.0591,4th,7th,0.348,0.2789,4th,7th,17.465,16.408,3rd,6th
Momo,Dahyun,1,0,0.0625,0.1412,6th,3rd,0.2049,0.3255,9th,5th,10.598,14.454,9th,7th
Momo,Nayeon,1,1,0.0625,0.209,6th,2nd,0.2049,0.3688,9th,2nd,10.598,27.374,9th,1st
Momo,Tzuyu,1,0,0.0625,0.0551,6th,8th,0.2049,0.3191,9th,6th,10.598,17.333,9th,4th
Nayeon,Jeongyeon,1,1,0.209,0.0393,2nd,9th,0.3688,0.3557,2nd,3rd,27.374,16.986,1st,5th
Nayeon,Jihyo,1,1,0.209,0.2415,2nd,1st,0.3688,0.4641,2nd,1st,27.374,26.318,1st,2nd
Nayeon,Mina,1,1,0.209,0.1371,2nd,4th,0.3688,0.348,2nd,4th,27.374,17.465,1st,3rd
Nayeon,Tzuyu,1,1,0.209,0.0551,2nd,8th,0.3688,0.3191,2nd,6th,27.374,17.333,1st,4th
Sana,Dahyun,1,0,0.0591,0.1412,7th,3rd,0.2789,0.3255,7th,5th,16.408,14.454,6th,7th
Sana,Jihyo,1,0,0.0591,0.2415,7th,1st,0.2789,0.4641,7th,1st,16.408,26.318,6th,2nd
Sana,Nayeon,1,0,0.0591,0.209,7th,2nd,0.2789,0.3688,7th,2nd,16.408,27.374,6th,1st
Tzuyu,Jeongyeon,1,0,0.0551,0.0393,8th,9th,0.3191,0.3557,6th,3rd,17.333,16.986,4th,5th
Tzuyu,Mina,1,1,0.0551,0.1371,8th,4th,0.3191,0.348,6th,4th,17.333,17.465,4th,3rd
Tzuyu,Nayeon,1,0,0.0551,0.209,8th,2nd,0.3191,0.3688,6th,2nd,17.333,27.374,4th,1st
