source,target,num_occurences,is_common,source_btwn_c,target_btwn_c,source_btwn_c_rank,target_btwn_c_rank,source_eigen_c,target_eigen_c,source_eigen_c_rank,target_eigen_c_rank,source_duration,target_duration,source_duration_rank,target_duration_rank
Chaeyoung,Jeongyeon,1,0,0.0283,0.2262,8th,1st,0.1088,0.2296,9th,8th,3.76,27.741,9th,3rd
Dahyun,Chaeyoung,1,1,0.1607,0.0283,3rd,8th,0.3374,0.1088,5th,9th,7.973,3.76,8th,9th
Dahyun,Jihyo,4,1,0.1607,0.1324,3rd,4th,0.3374,0.3721,5th,3rd,7.973,39.92,8th,1st
Jeongyeon,Dahyun,3,0,0.2262,0.1607,1st,3rd,0.2296,0.3374,8th,5th,27.741,7.973,3rd,8th
Jeongyeon,Mina,1,0,0.2262,0.2217,1st,2nd,0.2296,0.4865,8th,1st,27.741,37.238,3rd,2nd
Jeongyeon,Momo,4,0,0.2262,0.0729,1st,7th,0.2296,0.231,8th,7th,27.741,10.928,3rd,6th
Jihyo,Jeongyeon,4,1,0.1324,0.2262,4th,1st,0.3721,0.2296,3rd,8th,39.92,27.741,1st,3rd
Jihyo,Nayeon,1,1,0.1324,0.0923,4th,6th,0.3721,0.4648,3rd,2nd,39.92,21.7,1st,5th
Jihyo,Tzuyu,4,0,0.1324,0.128,4th,5th,0.3721,0.3516,3rd,4th,39.92,26.66,1st,4th
Mina,Momo,2,1,0.2217,0.0729,2nd,7th,0.4865,0.231,1st,7th,37.238,10.928,2nd,6th
Mina,Nayeon,2,1,0.2217,0.0923,2nd,6th,0.4865,0.4648,1st,2nd,37.238,21.7,2nd,5th
Mina,Sana,1,1,0.2217,0.0089,2nd,9th,0.4865,0.2314,1st,6th,37.238,10.86,2nd,7th
Mina,Tzuyu,1,0,0.2217,0.128,2nd,5th,0.4865,0.3516,1st,4th,37.238,26.66,2nd,4th
Momo,Jeongyeon,3,1,0.0729,0.2262,7th,1st,0.231,0.2296,7th,8th,10.928,27.741,6th,3rd
Momo,Mina,1,1,0.0729,0.2217,7th,2nd,0.231,0.4865,7th,1st,10.928,37.238,6th,2nd
Momo,Nayeon,1,1,0.0729,0.0923,7th,6th,0.231,0.4648,7th,2nd,10.928,21.7,6th,5th
Momo,Sana,1,0,0.0729,0.0089,7th,9th,0.231,0.2314,7th,6th,10.928,10.86,6th,7th
Nayeon,Dahyun,1,0,0.0923,0.1607,6th,3rd,0.4648,0.3374,2nd,5th,21.7,7.973,5th,8th
Nayeon,Jihyo,3,1,0.0923,0.1324,6th,4th,0.4648,0.3721,2nd,3rd,21.7,39.92,5th,1st
Nayeon,Mina,1,1,0.0923,0.2217,6th,2nd,0.4648,0.4865,2nd,1st,21.7,37.238,5th,2nd
Sana,Mina,1,0,0.0089,0.2217,9th,2nd,0.2314,0.4865,6th,1st,10.86,37.238,7th,2nd
Sana,Tzuyu,1,1,0.0089,0.128,9th,5th,0.2314,0.3516,6th,4th,10.86,26.66,7th,4th
Tzuyu,Dahyun,1,0,0.128,0.1607,5th,3rd,0.3516,0.3374,4th,5th,26.66,7.973,4th,8th
Tzuyu,Jihyo,2,0,0.128,0.1324,5th,4th,0.3516,0.3721,4th,3rd,26.66,39.92,4th,1st
Tzuyu,Mina,1,1,0.128,0.2217,5th,2nd,0.3516,0.4865,4th,1st,26.66,37.238,4th,2nd
Tzuyu,Nayeon,1,0,0.128,0.0923,5th,6th,0.3516,0.4648,4th,2nd,26.66,21.7,4th,5th
