source,target,num_occurences,is_common,source_btwn_c,target_btwn_c,source_btwn_c_rank,target_btwn_c_rank,source_eigen_c,target_eigen_c,source_eigen_c_rank,target_eigen_c_rank,source_duration,target_duration,source_duration_rank,target_duration_rank
Dahyun,Chaeyoung,23,1,0.13392857142857142,0.04464285714285714,4th,6th,0.1882551723450401,0.06882844184059282,8th,9th,190.955,198.37899999999996,8th,7th
Jihyo,Nayeon,20,1,0.20535714285714288,0.550595238095238,3rd,1st,0.524230982706585,0.44607403846430566,1st,3rd,449.90500000000003,484.001,2nd,1st
Nayeon,Jihyo,19,1,0.550595238095238,0.20535714285714288,1st,3rd,0.44607403846430566,0.524230982706585,3rd,1st,484.001,449.90500000000003,1st,2nd
Chaeyoung,Dahyun,18,1,0.04464285714285714,0.13392857142857142,6th,4th,0.06882844184059282,0.1882551723450401,9th,8th,198.37899999999996,190.955,7th,8th
Dahyun,Jihyo,16,1,0.13392857142857142,0.20535714285714288,4th,3rd,0.1882551723450401,0.524230982706585,8th,1st,190.955,449.90500000000003,8th,2nd
Jihyo,Jeongyeon,14,1,0.20535714285714288,0.005952380952380952,3rd,8th,0.524230982706585,0.459795701183782,1st,2nd,449.90500000000003,248.95,2nd,4th
Sana,Tzuyu,14,1,0.0,0.125,9th,5th,0.19578846859611337,0.19578846859611337,6th,6th,220.74900000000002,225.17000000000002,6th,5th
Tzuyu,Mina,13,1,0.125,0.4345238095238095,5th,2nd,0.19578846859611337,0.3397138863465392,6th,4th,225.17000000000002,287.721,5th,3rd
Chaeyoung,Nayeon,12,1,0.04464285714285714,0.550595238095238,6th,1st,0.06882844184059282,0.44607403846430566,9th,3rd,198.37899999999996,484.001,7th,1st
Momo,Jeongyeon,11,1,0.017857142857142856,0.005952380952380952,7th,8th,0.2872953260733476,0.459795701183782,5th,2nd,180.08700000000002,248.95,9th,4th
Tzuyu,Sana,11,1,0.125,0.0,5th,9th,0.19578846859611337,0.19578846859611337,6th,6th,225.17000000000002,220.74900000000002,5th,6th
Mina,Momo,11,1,0.4345238095238095,0.017857142857142856,2nd,7th,0.3397138863465392,0.2872953260733476,4th,5th,287.721,180.08700000000002,3rd,9th
Jeongyeon,Jihyo,11,1,0.005952380952380952,0.20535714285714288,8th,3rd,0.459795701183782,0.524230982706585,2nd,1st,248.95,449.90500000000003,4th,2nd
Mina,Nayeon,10,1,0.4345238095238095,0.550595238095238,2nd,1st,0.3397138863465392,0.44607403846430566,4th,3rd,287.721,484.001,3rd,1st
Momo,Nayeon,10,1,0.017857142857142856,0.550595238095238,7th,1st,0.2872953260733476,0.44607403846430566,5th,3rd,180.08700000000002,484.001,9th,1st
Nayeon,Mina,10,1,0.550595238095238,0.4345238095238095,1st,2nd,0.44607403846430566,0.3397138863465392,3rd,4th,484.001,287.721,1st,3rd
Mina,Sana,9,1,0.4345238095238095,0.0,2nd,9th,0.3397138863465392,0.19578846859611337,4th,6th,287.721,220.74900000000002,3rd,6th
Momo,Mina,9,1,0.017857142857142856,0.4345238095238095,7th,2nd,0.2872953260733476,0.3397138863465392,5th,4th,180.08700000000002,287.721,9th,3rd
Nayeon,Jeongyeon,9,1,0.550595238095238,0.005952380952380952,1st,8th,0.44607403846430566,0.459795701183782,3rd,2nd,484.001,248.95,1st,4th
Nayeon,Dahyun,8,1,0.550595238095238,0.13392857142857142,1st,4th,0.44607403846430566,0.1882551723450401,3rd,8th,484.001,190.955,1st,8th
Nayeon,Momo,8,1,0.550595238095238,0.017857142857142856,1st,7th,0.44607403846430566,0.2872953260733476,3rd,5th,484.001,180.08700000000002,1st,9th
Mina,Jihyo,8,1,0.4345238095238095,0.20535714285714288,2nd,3rd,0.3397138863465392,0.524230982706585,4th,1st,287.721,449.90500000000003,3rd,2nd
Mina,Tzuyu,8,1,0.4345238095238095,0.125,2nd,5th,0.3397138863465392,0.19578846859611337,4th,6th,287.721,225.17000000000002,3rd,5th
