source,target,num_occurences,is_common,source_btwn_c,target_btwn_c,source_btwn_c_rank,target_btwn_c_rank,source_eigen_c,target_eigen_c,source_eigen_c_rank,target_eigen_c_rank,source_duration,target_duration,source_duration_rank,target_duration_rank
Chaeyoung,Jihyo,1,0,0.11130952380952379,0.3113095238095238,6th,1st,0.250507835175598,0.42585940153190344,8th,1st,14.59,33.907,7th,2nd
Chaeyoung,Nayeon,1,1,0.11130952380952379,0.21666666666666665,6th,2nd,0.250507835175598,0.4003255586134298,8th,3rd,14.59,34.708000000000006,7th,1st
Dahyun,Chaeyoung,1,1,0.026785714285714284,0.11130952380952379,9th,6th,0.17911078563179295,0.250507835175598,9th,8th,19.648,14.59,5th,7th
Dahyun,Jihyo,1,1,0.026785714285714284,0.3113095238095238,9th,1st,0.17911078563179295,0.42585940153190344,9th,1st,19.648,33.907,5th,2nd
Jeongyeon,Momo,1,0,0.1107142857142857,0.12797619047619047,7th,5th,0.34748167271559294,0.2754586174462119,4th,7th,13.21,11.483,8th,9th
Jeongyeon,Tzuyu,1,0,0.1107142857142857,0.08511904761904761,7th,8th,0.34748167271559294,0.31451575413721033,4th,5th,13.21,28.034,8th,3rd
Jihyo,Dahyun,2,0,0.3113095238095238,0.026785714285714284,1st,9th,0.42585940153190344,0.17911078563179295,1st,9th,33.907,19.648,2nd,5th
Jihyo,Jeongyeon,1,1,0.3113095238095238,0.1107142857142857,1st,7th,0.42585940153190344,0.34748167271559294,1st,4th,33.907,13.21,2nd,8th
Jihyo,Nayeon,1,1,0.3113095238095238,0.21666666666666665,1st,2nd,0.42585940153190344,0.4003255586134298,1st,3rd,33.907,34.708000000000006,2nd,1st
Mina,Chaeyoung,1,0,0.15297619047619046,0.11130952380952379,3rd,6th,0.41650583246146183,0.250507835175598,2nd,8th,19.587,14.59,6th,7th
Mina,Sana,1,1,0.15297619047619046,0.14285714285714285,3rd,4th,0.41650583246146183,0.3074575374912987,2nd,6th,19.587,22.176,6th,4th
Momo,Jihyo,1,0,0.12797619047619047,0.3113095238095238,5th,1st,0.2754586174462119,0.42585940153190344,7th,1st,11.483,33.907,9th,2nd
Momo,Mina,1,1,0.12797619047619047,0.15297619047619046,5th,3rd,0.2754586174462119,0.41650583246146183,7th,2nd,11.483,19.587,9th,6th
Momo,Nayeon,1,1,0.12797619047619047,0.21666666666666665,5th,2nd,0.2754586174462119,0.4003255586134298,7th,3rd,11.483,34.708000000000006,9th,1st
Nayeon,Jeongyeon,1,1,0.21666666666666665,0.1107142857142857,2nd,7th,0.4003255586134298,0.34748167271559294,3rd,4th,34.708000000000006,13.21,1st,8th
Nayeon,Mina,1,1,0.21666666666666665,0.15297619047619046,2nd,3rd,0.4003255586134298,0.41650583246146183,3rd,2nd,34.708000000000006,19.587,1st,6th
Nayeon,Tzuyu,2,0,0.21666666666666665,0.08511904761904761,2nd,8th,0.4003255586134298,0.31451575413721033,3rd,5th,34.708000000000006,28.034,1st,3rd
Sana,Jihyo,1,0,0.14285714285714285,0.3113095238095238,4th,1st,0.3074575374912987,0.42585940153190344,6th,1st,22.176,33.907,4th,2nd
Sana,Momo,2,0,0.14285714285714285,0.12797619047619047,4th,5th,0.3074575374912987,0.2754586174462119,6th,7th,22.176,11.483,4th,9th
Tzuyu,Mina,1,1,0.08511904761904761,0.15297619047619046,8th,3rd,0.31451575413721033,0.41650583246146183,5th,2nd,28.034,19.587,3rd,6th
Tzuyu,Sana,2,1,0.08511904761904761,0.14285714285714285,8th,4th,0.31451575413721033,0.3074575374912987,5th,6th,28.034,22.176,3rd,4th
