source,target,num_occurences,is_common,source_btwn_c,target_btwn_c,source_btwn_c_rank,target_btwn_c_rank,source_eigen_c,target_eigen_c,source_eigen_c_rank,target_eigen_c_rank,source_duration,target_duration,source_duration_rank,target_duration_rank
Chaeyoung,Dahyun,3,1,0.125,0.12499999999999997,5th,7th,0.10018767697902443,0.04614604255483772,8th,9th,11.116999999999999,10.823,7th,8th
Dahyun,Chaeyoung,2,1,0.12499999999999997,0.125,7th,5th,0.04614604255483772,0.10018767697902443,9th,8th,10.823,11.116999999999999,8th,7th
Dahyun,Tzuyu,1,0,0.12499999999999997,0.21428571428571425,7th,4th,0.04614604255483772,0.4153934214843137,9th,2nd,10.823,12.042,8th,6th
Jeongyeon,Jihyo,3,1,0.125,0.46428571428571425,5th,2nd,0.3529079383720794,0.3720634211851701,6th,5th,16.083999999999996,38.303,4th,2nd
Jihyo,Jeongyeon,1,1,0.46428571428571425,0.125,2nd,5th,0.3720634211851701,0.3529079383720794,5th,6th,38.303,16.083999999999996,2nd,4th
Jihyo,Nayeon,3,1,0.46428571428571425,0.4107142857142857,2nd,3rd,0.3720634211851701,0.17137088977734694,5th,7th,38.303,40.284,2nd,1st
Mina,Jihyo,1,1,0.5089285714285714,0.46428571428571425,1st,2nd,0.454883060131906,0.3720634211851701,1st,5th,24.235,38.303,3rd,2nd
Mina,Momo,1,1,0.5089285714285714,0.07142857142857142,1st,8th,0.454883060131906,0.39413912055788175,1st,4th,24.235,10.784,3rd,9th
Mina,Sana,1,1,0.5089285714285714,0.04464285714285714,1st,9th,0.454883060131906,0.4008414257077193,1st,3rd,24.235,14.078999999999999,3rd,5th
Mina,Tzuyu,1,1,0.5089285714285714,0.21428571428571425,1st,4th,0.454883060131906,0.4153934214843137,1st,2nd,24.235,12.042,3rd,6th
Momo,Jeongyeon,2,1,0.07142857142857142,0.125,8th,5th,0.39413912055788175,0.3529079383720794,4th,6th,10.784,16.083999999999996,9th,4th
Nayeon,Chaeyoung,1,0,0.4107142857142857,0.125,3rd,5th,0.17137088977734694,0.10018767697902443,7th,8th,40.284,11.116999999999999,1st,7th
Nayeon,Mina,2,1,0.4107142857142857,0.5089285714285714,3rd,1st,0.17137088977734694,0.454883060131906,7th,1st,40.284,24.235,1st,3rd
Sana,Mina,1,0,0.04464285714285714,0.5089285714285714,9th,1st,0.4008414257077193,0.454883060131906,3rd,1st,14.078999999999999,24.235,5th,3rd
Sana,Momo,1,0,0.04464285714285714,0.07142857142857142,9th,8th,0.4008414257077193,0.39413912055788175,3rd,4th,14.078999999999999,10.784,5th,9th
Sana,Tzuyu,2,1,0.04464285714285714,0.21428571428571425,9th,4th,0.4008414257077193,0.4153934214843137,3rd,2nd,14.078999999999999,12.042,5th,6th
Tzuyu,Mina,1,1,0.21428571428571425,0.5089285714285714,4th,1st,0.4153934214843137,0.454883060131906,2nd,1st,12.042,24.235,6th,3rd
Tzuyu,Sana,3,1,0.21428571428571425,0.04464285714285714,4th,9th,0.4153934214843137,0.4008414257077193,2nd,3rd,12.042,14.078999999999999,6th,5th
