source,target,num_occurences,is_common,source_btwn_c,target_btwn_c,source_btwn_c_rank,target_btwn_c_rank,source_eigen_c,target_eigen_c,source_eigen_c_rank,target_eigen_c_rank,source_duration,target_duration,source_duration_rank,target_duration_rank
Chaeyoung,Dahyun,1,1,0.23482142857142857,0.25684523809523807,3rd,2nd,0.42375629124938113,0.36927282561518837,1st,3rd,12.184000000000001,12.318999999999999,7th,6th
Chaeyoung,Mina,1,0,0.23482142857142857,0.12976190476190474,3rd,5th,0.42375629124938113,0.301652996416323,1st,6th,12.184000000000001,20.697,7th,4th
Dahyun,Jihyo,1,1,0.25684523809523807,0.18869047619047621,2nd,4th,0.36927282561518837,0.30794478125790886,3rd,5th,12.318999999999999,29.299,6th,3rd
Dahyun,Momo,4,0,0.25684523809523807,0.030952380952380953,2nd,9th,0.36927282561518837,0.15490333278657947,3rd,9th,12.318999999999999,7.004,6th,9th
Jeongyeon,Jihyo,2,1,0.12351190476190477,0.18869047619047621,6th,4th,0.3648390105018457,0.30794478125790886,4th,5th,31.836,29.299,2nd,3rd
Jeongyeon,Nayeon,1,0,0.12351190476190477,0.2684523809523809,6th,1st,0.3648390105018457,0.40689519650745404,4th,2nd,31.836,45.269999999999996,2nd,1st
Jihyo,Chaeyoung,1,0,0.18869047619047621,0.23482142857142857,4th,3rd,0.30794478125790886,0.42375629124938113,5th,1st,29.299,12.184000000000001,3rd,7th
Jihyo,Jeongyeon,1,1,0.18869047619047621,0.12351190476190477,4th,6th,0.30794478125790886,0.3648390105018457,5th,4th,29.299,31.836,3rd,2nd
Jihyo,Nayeon,1,1,0.18869047619047621,0.2684523809523809,4th,1st,0.30794478125790886,0.40689519650745404,5th,2nd,29.299,45.269999999999996,3rd,1st
Mina,Dahyun,1,0,0.12976190476190474,0.25684523809523807,5th,2nd,0.301652996416323,0.36927282561518837,6th,3rd,20.697,12.318999999999999,4th,6th
Mina,Tzuyu,1,1,0.12976190476190474,0.10178571428571428,5th,7th,0.301652996416323,0.29721995030445914,6th,7th,20.697,10.119,4th,8th
Momo,Dahyun,3,0,0.030952380952380953,0.25684523809523807,9th,2nd,0.15490333278657947,0.36927282561518837,9th,3rd,7.004,12.318999999999999,9th,6th
Momo,Jeongyeon,1,1,0.030952380952380953,0.12351190476190477,9th,6th,0.15490333278657947,0.3648390105018457,9th,4th,7.004,31.836,9th,2nd
Nayeon,Chaeyoung,1,0,0.2684523809523809,0.23482142857142857,1st,3rd,0.40689519650745404,0.42375629124938113,2nd,1st,45.269999999999996,12.184000000000001,1st,7th
Nayeon,Jeongyeon,1,1,0.2684523809523809,0.12351190476190477,1st,6th,0.40689519650745404,0.3648390105018457,2nd,4th,45.269999999999996,31.836,1st,2nd
Nayeon,Sana,1,0,0.2684523809523809,0.07589285714285714,1st,8th,0.40689519650745404,0.29536032476559276,2nd,8th,45.269999999999996,17.753,1st,5th
Nayeon,Tzuyu,1,0,0.2684523809523809,0.10178571428571428,1st,7th,0.40689519650745404,0.29721995030445914,2nd,7th,45.269999999999996,10.119,1st,8th
Sana,Chaeyoung,1,0,0.07589285714285714,0.23482142857142857,8th,3rd,0.29536032476559276,0.42375629124938113,8th,1st,17.753,12.184000000000001,5th,7th
Sana,Mina,1,0,0.07589285714285714,0.12976190476190474,8th,5th,0.29536032476559276,0.301652996416323,8th,6th,17.753,20.697,5th,4th
Tzuyu,Nayeon,1,0,0.10178571428571428,0.2684523809523809,7th,1st,0.29721995030445914,0.40689519650745404,7th,2nd,10.119,45.269999999999996,8th,1st
Tzuyu,Sana,1,1,0.10178571428571428,0.07589285714285714,7th,8th,0.29721995030445914,0.29536032476559276,7th,8th,10.119,17.753,8th,5th
