source,target,num_occurences,is_common,source_btwn_c,target_btwn_c,source_btwn_c_rank,target_btwn_c_rank,source_eigen_c,target_eigen_c,source_eigen_c_rank,target_eigen_c_rank,source_duration,target_duration,source_duration_rank,target_duration_rank
Chaeyoung,Jihyo,1,0,0.12797619047619047,0.0863095238095238,4th,7th,0.4133120355718654,0.35011400928558806,2nd,4th,9.26,24.14,9th,2nd
Chaeyoung,Sana,1,0,0.12797619047619047,0.13095238095238093,4th,3rd,0.4133120355718654,0.31919646317183303,2nd,6th,9.26,16.321,9th,6th
Dahyun,Chaeyoung,1,1,0.10714285714285712,0.12797619047619047,6th,4th,0.23633112912429394,0.4133120355718654,7th,2nd,11.921,9.26,8th,9th
Dahyun,Mina,1,0,0.10714285714285712,0.36011904761904756,6th,1st,0.23633112912429394,0.3939998522387276,7th,3rd,11.921,29.56,8th,1st
Jeongyeon,Dahyun,1,0,0.06845238095238095,0.10714285714285712,9th,6th,0.1948305441655792,0.23633112912429394,9th,7th,17.52,11.921,4th,8th
Jeongyeon,Tzuyu,1,0,0.06845238095238095,0.0744047619047619,9th,8th,0.1948305441655792,0.22292374284659386,9th,8th,17.52,16.66,4th,5th
Jihyo,Dahyun,1,0,0.0863095238095238,0.10714285714285712,7th,6th,0.35011400928558806,0.23633112912429394,4th,7th,24.14,11.921,2nd,8th
Jihyo,Nayeon,1,1,0.0863095238095238,0.11309523809523808,7th,5th,0.35011400928558806,0.32270614966180194,4th,5th,24.14,23.979999999999997,2nd,3rd
Mina,Chaeyoung,1,0,0.36011904761904756,0.12797619047619047,1st,4th,0.3939998522387276,0.4133120355718654,3rd,2nd,29.56,9.26,1st,9th
Mina,Jihyo,1,1,0.36011904761904756,0.0863095238095238,1st,7th,0.3939998522387276,0.35011400928558806,3rd,4th,29.56,24.14,1st,2nd
Mina,Momo,1,1,0.36011904761904756,0.21726190476190474,1st,2nd,0.3939998522387276,0.4492499064001757,3rd,1st,29.56,15.52,1st,7th
Mina,Nayeon,2,1,0.36011904761904756,0.11309523809523808,1st,5th,0.3939998522387276,0.32270614966180194,3rd,5th,29.56,23.979999999999997,1st,3rd
Momo,Jeongyeon,2,1,0.21726190476190474,0.06845238095238095,2nd,9th,0.4492499064001757,0.1948305441655792,1st,9th,15.52,17.52,7th,4th
Momo,Mina,1,1,0.21726190476190474,0.36011904761904756,2nd,1st,0.4492499064001757,0.3939998522387276,1st,3rd,15.52,29.56,7th,1st
Nayeon,Chaeyoung,1,0,0.11309523809523808,0.12797619047619047,5th,4th,0.32270614966180194,0.4133120355718654,5th,2nd,23.979999999999997,9.26,3rd,9th
Nayeon,Momo,1,1,0.11309523809523808,0.21726190476190474,5th,2nd,0.32270614966180194,0.4492499064001757,5th,1st,23.979999999999997,15.52,3rd,7th
Nayeon,Sana,1,0,0.11309523809523808,0.13095238095238093,5th,3rd,0.32270614966180194,0.31919646317183303,5th,6th,23.979999999999997,16.321,3rd,6th
Sana,Momo,1,0,0.13095238095238093,0.21726190476190474,3rd,2nd,0.31919646317183303,0.4492499064001757,6th,1st,16.321,15.52,6th,7th
Sana,Tzuyu,1,1,0.13095238095238093,0.0744047619047619,3rd,8th,0.31919646317183303,0.22292374284659386,6th,8th,16.321,16.66,6th,5th
Tzuyu,Mina,2,1,0.0744047619047619,0.36011904761904756,8th,1st,0.22292374284659386,0.3939998522387276,8th,3rd,16.66,29.56,5th,1st
