source,target,num_occurences,is_common,source_btwn_c,target_btwn_c,source_btwn_c_rank,target_btwn_c_rank,source_eigen_c,target_eigen_c,source_eigen_c_rank,target_eigen_c_rank,source_duration,target_duration,source_duration_rank,target_duration_rank
Chaeyoung,Dahyun,2,1,0.3139880952380953,0.037202380952380945,2nd,5th,0.5212398431048464,0.19181990469293947,1st,8th,24.190000000000005,11.6,3rd,8th
Chaeyoung,Mina,1,0,0.3139880952380953,0.024404761904761905,2nd,6th,0.5212398431048464,0.36123536741548495,1st,4th,24.190000000000005,13.82,3rd,7th
Chaeyoung,Nayeon,6,1,0.3139880952380953,0.3586309523809524,2nd,1st,0.5212398431048464,0.4007984209199559,1st,3rd,24.190000000000005,47.10899999999999,3rd,1st
Chaeyoung,Sana,1,0,0.3139880952380953,0.11071428571428571,2nd,3rd,0.5212398431048464,0.4453501321018384,1st,2nd,24.190000000000005,20.395,3rd,4th
Dahyun,Chaeyoung,4,1,0.037202380952380945,0.3139880952380953,5th,2nd,0.19181990469293947,0.5212398431048464,8th,1st,11.6,24.190000000000005,8th,3rd
Dahyun,Jeongyeon,1,0,0.037202380952380945,0.048214285714285716,5th,4th,0.19181990469293947,0.2853749069844799,8th,5th,11.6,17.167,8th,5th
Jeongyeon,Chaeyoung,2,0,0.048214285714285716,0.3139880952380953,4th,2nd,0.2853749069844799,0.5212398431048464,5th,1st,17.167,24.190000000000005,5th,3rd
Jeongyeon,Mina,1,0,0.048214285714285716,0.024404761904761905,4th,6th,0.2853749069844799,0.36123536741548495,5th,4th,17.167,13.82,5th,7th
Jeongyeon,Momo,1,0,0.048214285714285716,0.013988095238095239,4th,8th,0.2853749069844799,0.2052897529928946,5th,7th,17.167,11.152999999999999,5th,9th
Jihyo,Dahyun,3,0,0.017857142857142856,0.037202380952380945,7th,5th,0.11991086277543266,0.19181990469293947,9th,8th,26.381,11.6,2nd,8th
Jihyo,Nayeon,1,1,0.017857142857142856,0.3586309523809524,7th,1st,0.11991086277543266,0.4007984209199559,9th,3rd,26.381,47.10899999999999,2nd,1st
Mina,Chaeyoung,1,0,0.024404761904761905,0.3139880952380953,6th,2nd,0.36123536741548495,0.5212398431048464,4th,1st,13.82,24.190000000000005,7th,3rd
Mina,Jeongyeon,1,0,0.024404761904761905,0.048214285714285716,6th,4th,0.36123536741548495,0.2853749069844799,4th,5th,13.82,17.167,7th,5th
Mina,Sana,1,1,0.024404761904761905,0.11071428571428571,6th,3rd,0.36123536741548495,0.4453501321018384,4th,2nd,13.82,20.395,7th,4th
Momo,Chaeyoung,2,0,0.013988095238095239,0.3139880952380953,8th,2nd,0.2052897529928946,0.5212398431048464,7th,1st,11.152999999999999,24.190000000000005,9th,3rd
Momo,Sana,1,0,0.013988095238095239,0.11071428571428571,8th,3rd,0.2052897529928946,0.4453501321018384,7th,2nd,11.152999999999999,20.395,9th,4th
Nayeon,Jeongyeon,2,1,0.3586309523809524,0.048214285714285716,1st,4th,0.4007984209199559,0.2853749069844799,3rd,5th,47.10899999999999,17.167,1st,5th
Nayeon,Jihyo,4,1,0.3586309523809524,0.017857142857142856,1st,7th,0.4007984209199559,0.11991086277543266,3rd,9th,47.10899999999999,26.381,1st,2nd
Nayeon,Mina,1,1,0.3586309523809524,0.024404761904761905,1st,6th,0.4007984209199559,0.36123536741548495,3rd,4th,47.10899999999999,13.82,1st,7th
Nayeon,Momo,2,1,0.3586309523809524,0.013988095238095239,1st,8th,0.4007984209199559,0.2052897529928946,3rd,7th,47.10899999999999,11.152999999999999,1st,9th
Nayeon,Sana,1,0,0.3586309523809524,0.11071428571428571,1st,3rd,0.4007984209199559,0.4453501321018384,3rd,2nd,47.10899999999999,20.395,1st,4th
Nayeon,Tzuyu,1,0,0.3586309523809524,0.0035714285714285713,1st,9th,0.4007984209199559,0.25315155509089476,3rd,6th,47.10899999999999,16.686,1st,6th
Sana,Chaeyoung,1,0,0.11071428571428571,0.3139880952380953,3rd,2nd,0.4453501321018384,0.5212398431048464,2nd,1st,20.395,24.190000000000005,4th,3rd
Sana,Nayeon,1,0,0.11071428571428571,0.3586309523809524,3rd,1st,0.4453501321018384,0.4007984209199559,2nd,3rd,20.395,47.10899999999999,4th,1st
Sana,Tzuyu,2,1,0.11071428571428571,0.0035714285714285713,3rd,9th,0.4453501321018384,0.25315155509089476,2nd,6th,20.395,16.686,4th,6th
Tzuyu,Chaeyoung,1,0,0.0035714285714285713,0.3139880952380953,9th,2nd,0.25315155509089476,0.5212398431048464,6th,1st,16.686,24.190000000000005,6th,3rd
Tzuyu,Nayeon,2,0,0.0035714285714285713,0.3586309523809524,9th,1st,0.25315155509089476,0.4007984209199559,6th,3rd,16.686,47.10899999999999,6th,1st
