source,target,num_occurences,is_common,source_btwn_c,target_btwn_c,source_btwn_c_rank,target_btwn_c_rank,source_eigen_c,target_eigen_c,source_eigen_c_rank,target_eigen_c_rank,source_duration,target_duration,source_duration_rank,target_duration_rank
Chaeyoung,Dahyun,1,1,0.0,0.0488095238095238,9th,6th,0.11537009801007003,0.3159698358573115,9th,7th,9.440000000000001,12.160000000000002,9th,6th
Chaeyoung,Momo,2,0,0.0,0.1363095238095238,9th,2nd,0.11537009801007003,0.37519317716419875,9th,2nd,9.440000000000001,13.259999999999998,9th,5th
Chaeyoung,Tzuyu,2,0,0.0,0.26398809523809524,9th,1st,0.11537009801007003,0.4878644454342486,9th,1st,9.440000000000001,22.240000000000002,9th,3rd
Dahyun,Jihyo,2,1,0.0488095238095238,0.02827380952380952,6th,7th,0.3159698358573115,0.32486156510061437,7th,5th,12.160000000000002,29.38,6th,2nd
Dahyun,Mina,2,0,0.0488095238095238,0.0976190476190476,6th,3rd,0.3159698358573115,0.3577093651485861,7th,3rd,12.160000000000002,15.52,6th,4th
Dahyun,Nayeon,1,0,0.0488095238095238,0.0550595238095238,6th,5th,0.3159698358573115,0.32486156510061437,7th,5th,12.160000000000002,43.46,6th,1st
Dahyun,Tzuyu,1,0,0.0488095238095238,0.26398809523809524,6th,1st,0.3159698358573115,0.4878644454342486,7th,1st,12.160000000000002,22.240000000000002,6th,3rd
Jeongyeon,Sana,1,0,0.005952380952380952,0.07827380952380951,8th,4th,0.2403073906858072,0.33361274123083284,8th,4th,10.0,10.040000000000003,8th,7th
Jeongyeon,Tzuyu,2,0,0.005952380952380952,0.26398809523809524,8th,1st,0.2403073906858072,0.4878644454342486,8th,1st,10.0,22.240000000000002,8th,3rd
Jihyo,Momo,1,0,0.02827380952380952,0.1363095238095238,7th,2nd,0.32486156510061437,0.37519317716419875,5th,2nd,29.38,13.259999999999998,2nd,5th
Jihyo,Nayeon,3,1,0.02827380952380952,0.0550595238095238,7th,5th,0.32486156510061437,0.32486156510061437,5th,5th,29.38,43.46,2nd,1st
Jihyo,Sana,3,0,0.02827380952380952,0.07827380952380951,7th,4th,0.32486156510061437,0.33361274123083284,5th,4th,29.38,10.040000000000003,2nd,7th
Mina,Dahyun,2,0,0.0976190476190476,0.0488095238095238,3rd,6th,0.3577093651485861,0.3159698358573115,3rd,7th,15.52,12.160000000000002,4th,6th
