source,target,num_occurences,is_common,source_btwn_c,target_btwn_c,source_btwn_c_rank,target_btwn_c_rank,source_eigen_c,target_eigen_c,source_eigen_c_rank,target_eigen_c_rank,source_duration,target_duration,source_duration_rank,target_duration_rank
Chaeyoung,Dahyun,1,1,0.19642857142857142,0.16666666666666666,1st,2nd,0.3566133337211011,0.3549774236309082,1st,2th,13.864,16.125,6th,3rd
Chaeyoung,Jeongyeon,1,0,0.19642857142857142,0.07738095238095237,1st,6th,0.3566133337211011,0.3549774236309082,1st,2th,13.864,14.73,6th,5th
Chaeyoung,Nayeon,2,1,0.19642857142857142,0.11607142857142856,1st,3rd,0.3566133337211011,0.3480516942672337,1st,4th,13.864,39.809,6th,1st
Dahyun,Jihyo,1,1,0.16666666666666666,0.06547619047619047,2nd,7th,0.3549774236309082,0.24563970503689467,2th,9th,16.125,23.512999999999998,3rd,2nd
Dahyun,Mina,1,0,0.16666666666666666,0.06547619047619047,2nd,7th,0.3549774236309082,0.3282324489228082,2th,6th,16.125,12.779,3rd,7th
Dahyun,Momo,2,0,0.16666666666666666,0.09821428571428571,2nd,4th,0.3549774236309082,0.3213067195591337,2th,8th,16.125,11.458,3rd,9th
Dahyun,Tzuyu,1,0,0.16666666666666666,0.08333333333333331,2nd,5th,0.3549774236309082,0.3280370101885743,2th,7th,16.125,12.091999999999999,3rd,8th
Jeongyeon,Chaeyoung,1,0,0.07738095238095237,0.19642857142857142,6th,1st,0.3549774236309082,0.3566133337211011,2th,1st,14.73,13.864,5th,6th
Jeongyeon,Jihyo,2,1,0.07738095238095237,0.06547619047619047,6th,7th,0.3549774236309082,0.24563970503689467,2th,9th,14.73,23.512999999999998,5th,2nd
Jihyo,Mina,1,0,0.06547619047619047,0.06547619047619047,7th,7th,0.24563970503689467,0.3282324489228082,9th,6th,23.512999999999998,12.779,2nd,7th
Jihyo,Momo,1,0,0.06547619047619047,0.09821428571428571,7th,4th,0.24563970503689467,0.3213067195591337,9th,8th,23.512999999999998,11.458,2nd,9th
Jihyo,Tzuyu,1,0,0.06547619047619047,0.08333333333333331,7th,5th,0.24563970503689467,0.3280370101885743,9th,7th,23.512999999999998,12.091999999999999,2nd,8th
Mina,Chaeyoung,1,0,0.06547619047619047,0.19642857142857142,7th,1st,0.3282324489228082,0.3566133337211011,6th,1st,12.779,13.864,7th,6th
Mina,Sana,2,1,0.06547619047619047,0.059523809523809514,7th,9th,0.3282324489228082,0.3474871399792648,6th,5th,12.779,15.524,7th,4th
Momo,Dahyun,2,0,0.09821428571428571,0.16666666666666666,4th,2nd,0.3213067195591337,0.3549774236309082,8th,2th,11.458,16.125,9th,3rd
Momo,Jeongyeon,1,1,0.09821428571428571,0.07738095238095237,4th,6th,0.3213067195591337,0.3549774236309082,8th,2th,11.458,14.73,9th,5th
Momo,Nayeon,1,1,0.09821428571428571,0.11607142857142856,4th,3rd,0.3213067195591337,0.3480516942672337,8th,4th,11.458,39.809,9th,1st
Nayeon,Dahyun,2,1,0.11607142857142856,0.16666666666666666,3rd,2nd,0.3480516942672337,0.3549774236309082,4th,2th,39.809,16.125,1st,3rd
Nayeon,Jeongyeon,1,1,0.11607142857142856,0.07738095238095237,3rd,6th,0.3480516942672337,0.3549774236309082,4th,2th,39.809,14.73,1st,5th
Nayeon,Mina,1,1,0.11607142857142856,0.06547619047619047,3rd,7th,0.3480516942672337,0.3282324489228082,4th,6th,39.809,12.779,1st,7th
Nayeon,Sana,1,0,0.11607142857142856,0.059523809523809514,3rd,9th,0.3480516942672337,0.3474871399792648,4th,5th,39.809,15.524,1st,4th
Sana,Chaeyoung,2,0,0.059523809523809514,0.19642857142857142,9th,1st,0.3474871399792648,0.3566133337211011,5th,1st,15.524,13.864,4th,6th
Sana,Tzuyu,2,1,0.059523809523809514,0.08333333333333331,9th,5th,0.3474871399792648,0.3280370101885743,5th,7th,15.524,12.091999999999999,4th,8th
Tzuyu,Momo,1,0,0.08333333333333331,0.09821428571428571,5th,4th,0.3280370101885743,0.3213067195591337,7th,8th,12.091999999999999,11.458,8th,9th
Tzuyu,Nayeon,1,0,0.08333333333333331,0.11607142857142856,5th,3rd,0.3280370101885743,0.3480516942672337,7th,4th,12.091999999999999,39.809,8th,1st
Tzuyu,Sana,1,1,0.08333333333333331,0.059523809523809514,5th,9th,0.3280370101885743,0.3474871399792648,7th,5th,12.091999999999999,15.524,8th,4th
