source,target,num_occurences,is_common,source_btwn_c,target_btwn_c,source_btwn_c_rank,target_btwn_c_rank,source_eigen_c,target_eigen_c,source_eigen_c_rank,target_eigen_c_rank,source_duration,target_duration,source_duration_rank,target_duration_rank
Chaeyoung,Dahyun,2,1,0.08452380952380951,0.09880952380952379,5th,3rd,0.4139133641693153,0.2828614427045268,3rd,6th,18.75,14.125,4th,7th
Chaeyoung,Momo,1,0,0.08452380952380951,0.0675595238095238,5th,6th,0.4139133641693153,0.2603489156644135,3rd,7th,18.75,14.093,4th,8th
Chaeyoung,Nayeon,1,1,0.08452380952380951,0.14970238095238095,5th,2nd,0.4139133641693153,0.47376379234388344,3rd,1st,18.75,37.611000000000004,4th,1st
Chaeyoung,Sana,1,0,0.08452380952380951,0.034821428571428566,5th,9th,0.4139133641693153,0.29880368108607924,3rd,5th,18.75,15.49,4th,5th
Dahyun,Jeongyeon,1,0,0.09880952380952379,0.05476190476190476,3rd,8th,0.2828614427045268,0.20305895335883287,6th,8th,14.125,14.636000000000001,7th,6th
Dahyun,Jihyo,1,1,0.09880952380952379,0.08601190476190475,3rd,4th,0.2828614427045268,0.35312137982884534,6th,4th,14.125,31.540999999999997,7th,2nd
Dahyun,Nayeon,1,0,0.09880952380952379,0.14970238095238095,3rd,2nd,0.2828614427045268,0.47376379234388344,6th,1st,14.125,37.611000000000004,7th,1st
Dahyun,Sana,1,0,0.09880952380952379,0.034821428571428566,3rd,9th,0.2828614427045268,0.29880368108607924,6th,5th,14.125,15.49,7th,5th
Jeongyeon,Momo,1,0,0.05476190476190476,0.0675595238095238,8th,6th,0.20305895335883287,0.2603489156644135,8th,7th,14.636000000000001,14.093,6th,8th
Jeongyeon,Tzuyu,1,0,0.05476190476190476,0.0630952380952381,8th,7th,0.20305895335883287,0.16630355543910236,8th,9th,14.636000000000001,7.061999999999999,6th,9th
Jihyo,Chaeyoung,2,0,0.08601190476190475,0.08452380952380951,4th,5th,0.35312137982884534,0.4139133641693153,4th,3rd,31.540999999999997,18.75,2nd,4th
Jihyo,Mina,2,0,0.08601190476190475,0.21785714285714283,4th,1st,0.35312137982884534,0.41660926844678947,4th,2nd,31.540999999999997,23.108,2nd,3rd
Jihyo,Momo,2,0,0.08601190476190475,0.0675595238095238,4th,6th,0.35312137982884534,0.2603489156644135,4th,7th,31.540999999999997,14.093,2nd,8th
Jihyo,Nayeon,1,1,0.08601190476190475,0.14970238095238095,4th,2nd,0.35312137982884534,0.47376379234388344,4th,1st,31.540999999999997,37.611000000000004,2nd,1st
Mina,Chaeyoung,1,0,0.21785714285714283,0.08452380952380951,1st,5th,0.41660926844678947,0.4139133641693153,2nd,3rd,23.108,18.75,3rd,4th
Mina,Nayeon,2,1,0.21785714285714283,0.14970238095238095,1st,2nd,0.41660926844678947,0.47376379234388344,2nd,1st,23.108,37.611000000000004,3rd,1st
Mina,Sana,2,1,0.21785714285714283,0.034821428571428566,1st,9th,0.41660926844678947,0.29880368108607924,2nd,5th,23.108,15.49,3rd,5th
Mina,Tzuyu,1,1,0.21785714285714283,0.0630952380952381,1st,7th,0.41660926844678947,0.16630355543910236,2nd,9th,23.108,7.061999999999999,3rd,9th
Momo,Jihyo,3,0,0.0675595238095238,0.08601190476190475,6th,4th,0.2603489156644135,0.35312137982884534,7th,4th,14.093,31.540999999999997,8th,2nd
Momo,Mina,1,1,0.0675595238095238,0.21785714285714283,6th,1st,0.2603489156644135,0.41660926844678947,7th,2nd,14.093,23.108,8th,3rd
Nayeon,Chaeyoung,1,0,0.14970238095238095,0.08452380952380951,2nd,5th,0.47376379234388344,0.4139133641693153,1st,3rd,37.611000000000004,18.75,1st,4th
Nayeon,Dahyun,1,1,0.14970238095238095,0.09880952380952379,2nd,3rd,0.47376379234388344,0.2828614427045268,1st,6th,37.611000000000004,14.125,1st,7th
Nayeon,Jeongyeon,1,1,0.14970238095238095,0.05476190476190476,2nd,8th,0.47376379234388344,0.20305895335883287,1st,8th,37.611000000000004,14.636000000000001,1st,6th
Nayeon,Jihyo,2,1,0.14970238095238095,0.08601190476190475,2nd,4th,0.47376379234388344,0.35312137982884534,1st,4th,37.611000000000004,31.540999999999997,1st,2nd
Nayeon,Mina,1,1,0.14970238095238095,0.21785714285714283,2nd,1st,0.47376379234388344,0.41660926844678947,1st,2nd,37.611000000000004,23.108,1st,3rd
Sana,Chaeyoung,1,0,0.034821428571428566,0.08452380952380951,9th,5th,0.29880368108607924,0.4139133641693153,5th,3rd,15.49,18.75,5th,4th
Sana,Jihyo,1,0,0.034821428571428566,0.08601190476190475,9th,4th,0.29880368108607924,0.35312137982884534,5th,4th,15.49,31.540999999999997,5th,2nd
Sana,Mina,1,0,0.034821428571428566,0.21785714285714283,9th,1st,0.29880368108607924,0.41660926844678947,5th,2nd,15.49,23.108,5th,3rd
Sana,Nayeon,1,0,0.034821428571428566,0.14970238095238095,9th,2nd,0.29880368108607924,0.47376379234388344,5th,1st,15.49,37.611000000000004,5th,1st
Tzuyu,Dahyun,1,0,0.0630952380952381,0.09880952380952379,7th,3rd,0.16630355543910236,0.2828614427045268,9th,6th,7.061999999999999,14.125,9th,7th
Tzuyu,Mina,1,1,0.0630952380952381,0.21785714285714283,7th,1st,0.16630355543910236,0.41660926844678947,9th,2nd,7.061999999999999,23.108,9th,3rd
