source,target,num_occurences,is_common,source_btwn_c,target_btwn_c,source_btwn_c_rank,target_btwn_c_rank,source_eigen_c,target_eigen_c,source_eigen_c_rank,target_eigen_c_rank,source_duration,target_duration,source_duration_rank,target_duration_rank
Chaeyoung,Dahyun,1,1,0.125,0.125,4th,4th,0.09818169689742118,0.26015511198740787,9th,6th,8.508,4.958,7th,9th
Chaeyoung,Mina,1,0,0.125,0.2857142857142857,4th,2nd,0.09818169689742118,0.38100886053726735,9th,2nd,8.508,17.024,7th,3rd
Dahyun,Chaeyoung,2,1,0.125,0.125,4th,4th,0.26015511198740787,0.09818169689742118,6th,9th,4.958,8.508,9th,7th
Jeongyeon,Jihyo,1,1,0.0,0.5803571428571428,8th,1st,0.22310101307246158,0.5911644981184555,8th,1st,12.895999999999999,55.22799999999999,4th,1st
Jihyo,Dahyun,1,0,0.5803571428571428,0.125,1st,4th,0.5911644981184555,0.26015511198740787,1st,6th,55.22799999999999,4.958,1st,9th
Jihyo,Jeongyeon,1,1,0.5803571428571428,0.0,1st,8th,0.5911644981184555,0.22310101307246158,1st,8th,55.22799999999999,12.895999999999999,1st,4th
Jihyo,Mina,2,0,0.5803571428571428,0.2857142857142857,1st,2nd,0.5911644981184555,0.38100886053726735,1st,2nd,55.22799999999999,17.024,1st,3rd
Jihyo,Nayeon,3,1,0.5803571428571428,0.13392857142857142,1st,3rd,0.5911644981184555,0.32023538708057075,1st,4th,55.22799999999999,41.458,1st,2nd
Mina,Jihyo,2,1,0.2857142857142857,0.5803571428571428,2nd,1st,0.38100886053726735,0.5911644981184555,2nd,1st,17.024,55.22799999999999,3rd,1st
Mina,Sana,1,1,0.2857142857142857,0.11607142857142856,2nd,6th,0.38100886053726735,0.3617785995577982,2nd,3rd,17.024,10.447,3rd,6th
Mina,Tzuyu,1,1,0.2857142857142857,0.0,2nd,8th,0.38100886053726735,0.280322311022747,2nd,5th,17.024,11.408000000000001,3rd,5th
Momo,Nayeon,1,1,0.008928571428571428,0.13392857142857142,7th,3rd,0.2573855825990897,0.32023538708057075,7th,4th,6.667,41.458,8th,2nd
Momo,Sana,1,0,0.008928571428571428,0.11607142857142856,7th,6th,0.2573855825990897,0.3617785995577982,7th,3rd,6.667,10.447,8th,6th
Nayeon,Jihyo,2,1,0.13392857142857142,0.5803571428571428,3rd,1st,0.32023538708057075,0.5911644981184555,4th,1st,41.458,55.22799999999999,2nd,1st
Nayeon,Mina,1,1,0.13392857142857142,0.2857142857142857,3rd,2nd,0.32023538708057075,0.38100886053726735,4th,2nd,41.458,17.024,2nd,3rd
Nayeon,Momo,1,1,0.13392857142857142,0.008928571428571428,3rd,7th,0.32023538708057075,0.2573855825990897,4th,7th,41.458,6.667,2nd,8th
Nayeon,Sana,1,0,0.13392857142857142,0.11607142857142856,3rd,6th,0.32023538708057075,0.3617785995577982,4th,3rd,41.458,10.447,2nd,6th
Sana,Jihyo,1,0,0.11607142857142856,0.5803571428571428,6th,1st,0.3617785995577982,0.5911644981184555,3rd,1st,10.447,55.22799999999999,6th,1st
Sana,Momo,1,0,0.11607142857142856,0.008928571428571428,6th,7th,0.3617785995577982,0.2573855825990897,3rd,7th,10.447,6.667,6th,8th
Sana,Tzuyu,1,1,0.11607142857142856,0.0,6th,8th,0.3617785995577982,0.280322311022747,3rd,5th,10.447,11.408000000000001,6th,5th
Tzuyu,Jihyo,2,0,0.0,0.5803571428571428,8th,1st,0.280322311022747,0.5911644981184555,5th,1st,11.408000000000001,55.22799999999999,5th,1st
