source,target,num_occurences,is_common,source_btwn_c,target_btwn_c,source_btwn_c_rank,target_btwn_c_rank,source_eigen_c,target_eigen_c,source_eigen_c_rank,target_eigen_c_rank,source_duration,target_duration,source_duration_rank,target_duration_rank
Chaeyoung,Dahyun,1,1,0.06547619047619047,0.1607142857142857,6th,4th,0.33990688695486626,0.3955991114126132,5th,3rd,11.379999999999999,12.020000000000001,9th,8th
Chaeyoung,Jihyo,1,0,0.06547619047619047,0.38690476190476186,6th,1st,0.33990688695486626,0.5081455373690251,5th,1st,11.379999999999999,28.159999999999997,9th,1st
Chaeyoung,Nayeon,1,1,0.06547619047619047,0.3839285714285714,6th,2nd,0.33990688695486626,0.4244380416587212,5th,2nd,11.379999999999999,27.299999999999997,9th,2nd
Chaeyoung,Sana,1,0,0.06547619047619047,0.0,6th,8th,0.33990688695486626,0.2874763878336802,5th,6th,11.379999999999999,14.46,9th,4th
Dahyun,Chaeyoung,2,1,0.1607142857142857,0.06547619047619047,4th,6th,0.3955991114126132,0.33990688695486626,3rd,5th,12.020000000000001,11.379999999999999,8th,9th
Dahyun,Jihyo,3,1,0.1607142857142857,0.38690476190476186,4th,1st,0.3955991114126132,0.5081455373690251,3rd,1st,12.020000000000001,28.159999999999997,8th,1st
Jeongyeon,Jihyo,2,1,0.06547619047619047,0.38690476190476186,6th,1st,0.19111751379716646,0.5081455373690251,8th,1st,12.939999999999998,28.159999999999997,5th,1st
Jeongyeon,Tzuyu,1,0,0.06547619047619047,0.25297619047619047,6th,3rd,0.19111751379716646,0.20380047972030993,8th,7th,12.939999999999998,19.759999999999998,5th,3rd
Jihyo,Chaeyoung,3,0,0.38690476190476186,0.06547619047619047,1st,6th,0.5081455373690251,0.33990688695486626,1st,5th,28.159999999999997,11.379999999999999,1st,9th
Jihyo,Jeongyeon,3,1,0.38690476190476186,0.06547619047619047,1st,6th,0.5081455373690251,0.19111751379716646,1st,8th,28.159999999999997,12.939999999999998,1st,5th
Jihyo,Momo,1,0,0.38690476190476186,0.13095238095238093,1st,5th,0.5081455373690251,0.3507516035785524,1st,4th,28.159999999999997,12.780000000000001,1st,6th
Jihyo,Nayeon,1,1,0.38690476190476186,0.3839285714285714,1st,2nd,0.5081455373690251,0.4244380416587212,1st,2nd,28.159999999999997,27.299999999999997,1st,2nd
Mina,Nayeon,2,1,0.0,0.3839285714285714,8th,2nd,0.07664993350285318,0.4244380416587212,9th,2nd,12.14,27.299999999999997,7th,2nd
Momo,Tzuyu,2,0,0.13095238095238093,0.25297619047619047,5th,3rd,0.3507516035785524,0.20380047972030993,4th,7th,12.780000000000001,19.759999999999998,6th,3rd
Nayeon,Dahyun,1,1,0.3839285714285714,0.1607142857142857,2nd,4th,0.4244380416587212,0.3955991114126132,2nd,3rd,27.299999999999997,12.020000000000001,2nd,8th
Nayeon,Jihyo,2,1,0.3839285714285714,0.38690476190476186,2nd,1st,0.4244380416587212,0.5081455373690251,2nd,1st,27.299999999999997,28.159999999999997,2nd,1st
Nayeon,Momo,1,1,0.3839285714285714,0.13095238095238093,2nd,5th,0.4244380416587212,0.3507516035785524,2nd,4th,27.299999999999997,12.780000000000001,2nd,6th
Nayeon,Sana,1,0,0.3839285714285714,0.0,2nd,8th,0.4244380416587212,0.2874763878336802,2nd,6th,27.299999999999997,14.46,2nd,4th
Sana,Dahyun,3,0,0.0,0.1607142857142857,8th,4th,0.2874763878336802,0.3955991114126132,6th,3rd,14.46,12.020000000000001,4th,8th
Tzuyu,Mina,2,1,0.25297619047619047,0.0,3rd,8th,0.20380047972030993,0.07664993350285318,7th,9th,19.759999999999998,12.14,3rd,7th
Tzuyu,Nayeon,1,0,0.25297619047619047,0.3839285714285714,3rd,2nd,0.20380047972030993,0.4244380416587212,7th,2nd,19.759999999999998,27.299999999999997,3rd,2nd
