source,target,num_occurences,is_common,source_btwn_c,target_btwn_c,source_btwn_c_rank,target_btwn_c_rank,source_eigen_c,target_eigen_c,source_eigen_c_rank,target_eigen_c_rank,source_duration,target_duration,source_duration_rank,target_duration_rank
Chaeyoung,Jihyo,2,0,0.13392857142857142,0.05357142857142857,4th,9th,0.3027527163865609,0.29728953734576924,6th,7th,16.58,15.440000000000001,2nd,4th
Chaeyoung,Nayeon,1,1,0.13392857142857142,0.17857142857142855,4th,3rd,0.3027527163865609,0.3723388866704603,6th,3rd,16.58,13.659999999999998,2nd,7th
Chaeyoung,Sana,1,0,0.13392857142857142,0.11309523809523808,4th,7th,0.3027527163865609,0.3805348645815954,6th,2nd,16.58,15.96,2nd,3rd
Dahyun,Chaeyoung,3,1,0.23809523809523805,0.13392857142857142,1st,4th,0.44703097227394667,0.3027527163865609,1st,6th,19.62,16.58,1st,2nd
Dahyun,Tzuyu,3,0,0.23809523809523805,0.09821428571428571,1st,8th,0.44703097227394667,0.3268587245809081,1st,4th,19.62,12.459999999999997,1st,8th
Jeongyeon,Chaeyoung,1,0,0.1220238095238095,0.13392857142857142,6th,4th,0.24881083812795596,0.3027527163865609,9th,6th,13.900000000000002,16.58,5th,2nd
Jeongyeon,Nayeon,2,0,0.1220238095238095,0.17857142857142855,6th,3rd,0.24881083812795596,0.3723388866704603,9th,3rd,13.900000000000002,13.659999999999998,5th,7th
Jihyo,Jeongyeon,2,1,0.05357142857142857,0.1220238095238095,9th,6th,0.29728953734576924,0.24881083812795596,7th,9th,15.440000000000001,13.900000000000002,4th,5th
Jihyo,Sana,1,0,0.05357142857142857,0.11309523809523808,9th,7th,0.29728953734576924,0.3805348645815954,7th,2nd,15.440000000000001,15.96,4th,3rd
Mina,Momo,2,1,0.13095238095238093,0.1994047619047619,5th,2nd,0.304213558001365,0.2745735893481607,5th,8th,13.879999999999999,9.26,6th,9th
Mina,Nayeon,1,1,0.13095238095238093,0.17857142857142855,5th,3rd,0.304213558001365,0.3723388866704603,5th,3rd,13.879999999999999,13.659999999999998,6th,7th
Mina,Tzuyu,1,1,0.13095238095238093,0.09821428571428571,5th,8th,0.304213558001365,0.3268587245809081,5th,4th,13.879999999999999,12.459999999999997,6th,8th
Momo,Dahyun,1,0,0.1994047619047619,0.23809523809523805,2nd,1st,0.2745735893481607,0.44703097227394667,8th,1st,9.26,19.62,9th,1st
Momo,Jeongyeon,1,1,0.1994047619047619,0.1220238095238095,2nd,6th,0.2745735893481607,0.24881083812795596,8th,9th,9.26,13.900000000000002,9th,5th
Momo,Sana,1,0,0.1994047619047619,0.11309523809523808,2nd,7th,0.2745735893481607,0.3805348645815954,8th,2nd,9.26,15.96,9th,3rd
Nayeon,Dahyun,3,1,0.17857142857142855,0.23809523809523805,3rd,1st,0.3723388866704603,0.44703097227394667,3rd,1st,13.659999999999998,19.62,7th,1st
Nayeon,Mina,1,1,0.17857142857142855,0.13095238095238093,3rd,5th,0.3723388866704603,0.304213558001365,3rd,5th,13.659999999999998,13.879999999999999,7th,6th
Sana,Dahyun,2,0,0.11309523809523808,0.23809523809523805,7th,1st,0.3805348645815954,0.44703097227394667,2nd,1st,15.96,19.62,3rd,1st
Sana,Jihyo,1,0,0.11309523809523808,0.05357142857142857,7th,9th,0.3805348645815954,0.29728953734576924,2nd,7th,15.96,15.440000000000001,3rd,4th
Tzuyu,Mina,3,1,0.09821428571428571,0.13095238095238093,8th,5th,0.3268587245809081,0.304213558001365,4th,5th,12.459999999999997,13.879999999999999,8th,6th
Tzuyu,Momo,1,0,0.09821428571428571,0.1994047619047619,8th,2nd,0.3268587245809081,0.2745735893481607,4th,8th,12.459999999999997,9.26,8th,9th
