source,target,num_occurences,is_common,source_btwn_c,target_btwn_c,source_btwn_c_rank,target_btwn_c_rank,source_eigen_c,target_eigen_c,source_eigen_c_rank,target_eigen_c_rank,source_duration,target_duration,source_duration_rank,target_duration_rank
Chaeyoung,Dahyun,4,1,0.1875,0.1607142857142857,4th,7th,0.3192974682457682,0.2000341191941721,5th,7th,21.006,13.251000000000001,4th,9th
Chaeyoung,Jeongyeon,1,0,0.1875,0.125,4th,9th,0.3192974682457682,0.41015459879421107,5th,4th,21.006,15.819999999999999,4th,8th
Chaeyoung,Jihyo,1,0,0.1875,0.3214285714285714,4th,1th,0.3192974682457682,0.43953451960008166,5th,3rd,21.006,21.08,4th,3rd
Dahyun,Chaeyoung,5,1,0.1607142857142857,0.1875,7th,4th,0.2000341191941721,0.3192974682457682,7th,5th,13.251000000000001,21.006,9th,4th
Dahyun,Momo,1,0,0.1607142857142857,0.25,7th,3rd,0.2000341191941721,0.46452446719598056,7th,1st,13.251000000000001,21.14,9th,2nd
Jeongyeon,Chaeyoung,1,0,0.125,0.1875,9th,4th,0.41015459879421107,0.3192974682457682,4th,5th,15.819999999999999,21.006,8th,4th
Jeongyeon,Mina,1,0,0.125,0.13392857142857142,9th,8th,0.41015459879421107,0.45769682398775874,4th,2nd,15.819999999999999,21.339999999999996,8th,1st
Jihyo,Nayeon,3,1,0.3214285714285714,0.3214285714285714,1th,1th,0.43953451960008166,0.22999674442112103,3rd,6th,21.08,19.38,3rd,5th
Mina,Jihyo,1,1,0.13392857142857142,0.3214285714285714,8th,1th,0.45769682398775874,0.43953451960008166,2nd,3rd,21.339999999999996,21.08,1st,3rd
Mina,Momo,4,1,0.13392857142857142,0.25,8th,3rd,0.45769682398775874,0.46452446719598056,2nd,1st,21.339999999999996,21.14,1st,2nd
Momo,Jeongyeon,1,1,0.25,0.125,3rd,9th,0.46452446719598056,0.41015459879421107,1st,4th,21.14,15.819999999999999,2nd,8th
Momo,Mina,4,1,0.25,0.13392857142857142,3rd,8th,0.46452446719598056,0.45769682398775874,1st,2nd,21.14,21.339999999999996,2nd,1st
Nayeon,Momo,1,1,0.3214285714285714,0.25,1th,3rd,0.22999674442112103,0.46452446719598056,6th,1st,19.38,21.14,5th,2nd
Nayeon,Tzuyu,2,0,0.3214285714285714,0.16964285714285712,1th,5th,0.22999674442112103,0.12035075851905203,6th,8th,19.38,17.4,5th,7th
Sana,Dahyun,1,0,0.16964285714285712,0.1607142857142857,5th,7th,0.0629755370387828,0.2000341191941721,9th,7th,18.779999999999998,13.251000000000001,6th,9th
Sana,Jihyo,1,0,0.16964285714285712,0.3214285714285714,5th,1th,0.0629755370387828,0.43953451960008166,9th,3rd,18.779999999999998,21.08,6th,3rd
Tzuyu,Sana,2,1,0.16964285714285712,0.16964285714285712,5th,5th,0.12035075851905203,0.0629755370387828,8th,9th,17.4,18.779999999999998,7th,6th
