source,target,num_occurences,is_common,source_btwn_c,target_btwn_c,source_btwn_c_rank,target_btwn_c_rank,source_eigen_c,target_eigen_c,source_eigen_c_rank,target_eigen_c_rank,source_duration,target_duration,source_duration_rank,target_duration_rank
Chaeyoung,Dahyun,2,1,0.13392857142857142,0.09821428571428571,6th,8th,0.3768331409559263,0.4694068557880619,3rd,2nd,8.98,15.080000000000002,9th,4th
Chaeyoung,Sana,1,0,0.13392857142857142,0.23214285714285712,6th,3rd,0.3768331409559263,0.28072071453253933,3rd,7th,8.98,12.24,9th,6th
Dahyun,Chaeyoung,2,1,0.09821428571428571,0.13392857142857142,8th,6th,0.4694068557880619,0.3768331409559263,2nd,3rd,15.080000000000002,8.98,4th,9th
Dahyun,Jihyo,3,1,0.09821428571428571,0.4374999999999999,8th,1st,0.4694068557880619,0.4707540988396911,2nd,1st,15.080000000000002,40.879999999999995,4th,1st
Jeongyeon,Dahyun,1,0,0.017857142857142856,0.09821428571428571,9th,8th,0.32353726041235825,0.4694068557880619,5th,2nd,12.84,15.080000000000002,5th,4th
Jeongyeon,Jihyo,1,1,0.017857142857142856,0.4374999999999999,9th,1st,0.32353726041235825,0.4707540988396911,5th,1st,12.84,40.879999999999995,5th,1st
Jihyo,Chaeyoung,1,0,0.4374999999999999,0.13392857142857142,1st,6th,0.4707540988396911,0.3768331409559263,1st,3rd,40.879999999999995,8.98,1st,9th
Jihyo,Dahyun,2,0,0.4374999999999999,0.09821428571428571,1st,8th,0.4707540988396911,0.4694068557880619,1st,2nd,40.879999999999995,15.080000000000002,1st,4th
Jihyo,Jeongyeon,1,1,0.4374999999999999,0.017857142857142856,1st,9th,0.4707540988396911,0.32353726041235825,1st,5th,40.879999999999995,12.84,1st,5th
Jihyo,Mina,1,0,0.4374999999999999,0.14285714285714285,1st,5th,0.4707540988396911,0.3364421213433681,1st,4th,40.879999999999995,21.8,1st,2nd
Jihyo,Tzuyu,2,0,0.4374999999999999,0.13392857142857142,1st,6th,0.4707540988396911,0.32353726041235825,1st,5th,40.879999999999995,9.219999999999999,1st,8th
Mina,Jeongyeon,1,0,0.14285714285714285,0.017857142857142856,5th,9th,0.3364421213433681,0.32353726041235825,4th,5th,21.8,12.84,2nd,5th
Mina,Jihyo,2,1,0.14285714285714285,0.4374999999999999,5th,1st,0.3364421213433681,0.4707540988396911,4th,1st,21.8,40.879999999999995,2nd,1st
Mina,Tzuyu,1,1,0.14285714285714285,0.13392857142857142,5th,6th,0.3364421213433681,0.32353726041235825,4th,5th,21.8,9.219999999999999,2nd,8th
Momo,Nayeon,2,1,0.23214285714285712,0.23214285714285712,3rd,3rd,0.11251843622328035,0.04510021308155108,8th,9th,10.700000000000001,21.540000000000003,7th,3rd
Nayeon,Jihyo,2,1,0.23214285714285712,0.4374999999999999,3rd,1st,0.04510021308155108,0.4707540988396911,9th,1st,21.540000000000003,40.879999999999995,3rd,1st
Nayeon,Mina,1,1,0.23214285714285712,0.14285714285714285,3rd,5th,0.04510021308155108,0.3364421213433681,9th,4th,21.540000000000003,21.8,3rd,2nd
Sana,Momo,2,0,0.23214285714285712,0.23214285714285712,3rd,3rd,0.28072071453253933,0.11251843622328035,7th,8th,12.24,10.700000000000001,6th,7th
Tzuyu,Mina,2,1,0.13392857142857142,0.14285714285714285,6th,5th,0.32353726041235825,0.3364421213433681,5th,4th,9.219999999999999,21.8,8th,2nd
Tzuyu,Sana,1,1,0.13392857142857142,0.23214285714285712,6th,3rd,0.32353726041235825,0.28072071453253933,5th,7th,9.219999999999999,12.24,8th,6th
