source,target,num_occurences,is_common,source_btwn_c,target_btwn_c,source_btwn_c_rank,target_btwn_c_rank,source_eigen_c,target_eigen_c,source_eigen_c_rank,target_eigen_c_rank,source_duration,target_duration,source_duration_rank,target_duration_rank
Chaeyoung,Nayeon,1,1,0.2857142857142857,0.30357142857142855,3rd,2nd,0.30474677110995707,0.5634283244726598,5th,1st,15.06,26.359999999999996,3rd,1st
Chaeyoung,Sana,1,0,0.2857142857142857,0.1607142857142857,3rd,5th,0.30474677110995707,0.31011844010296363,5th,4th,15.06,13.66,3rd,6th
Dahyun,Chaeyoung,1,1,0.14285714285714285,0.2857142857142857,7th,3rd,0.25723369022204506,0.30474677110995707,7th,5th,14.16,15.06,5th,3rd
Dahyun,Sana,1,0,0.14285714285714285,0.1607142857142857,7th,5th,0.25723369022204506,0.31011844010296363,7th,4th,14.16,13.66,5th,6th
Jeongyeon,Mina,1,0,0.125,0.33928571428571425,8th,1st,0.31091648823798046,0.295011841263518,3rd,6th,13.340000000000002,9.8,7th,9th
Jeongyeon,Nayeon,2,0,0.125,0.30357142857142855,8th,2nd,0.31091648823798046,0.5634283244726598,3rd,1st,13.340000000000002,26.359999999999996,7th,1st
Jihyo,Momo,1,0,0.23214285714285712,0.125,4th,8th,0.40535364046980177,0.22368778976779394,2nd,8th,17.72,10.52,2nd,8th
Jihyo,Nayeon,1,1,0.23214285714285712,0.30357142857142855,4th,2nd,0.40535364046980177,0.5634283244726598,2nd,1st,17.72,26.359999999999996,2nd,1st
Mina,Chaeyoung,1,0,0.33928571428571425,0.2857142857142857,1st,3rd,0.295011841263518,0.30474677110995707,6th,5th,9.8,15.06,9th,3rd
Mina,Dahyun,1,0,0.33928571428571425,0.14285714285714285,1st,7th,0.295011841263518,0.25723369022204506,6th,7th,9.8,14.16,9th,5th
Momo,Mina,1,1,0.125,0.33928571428571425,8th,1st,0.22368778976779394,0.295011841263518,8th,6th,10.52,9.8,8th,9th
Nayeon,Jeongyeon,3,1,0.30357142857142855,0.125,2nd,8th,0.5634283244726598,0.31091648823798046,1st,3rd,26.359999999999996,13.340000000000002,1st,7th
Nayeon,Jihyo,1,1,0.30357142857142855,0.23214285714285712,2nd,4th,0.5634283244726598,0.40535364046980177,1st,2nd,26.359999999999996,17.72,1st,2nd
Sana,Tzuyu,2,1,0.1607142857142857,0.1607142857142857,5th,5th,0.31011844010296363,0.171132872720552,4th,9th,13.66,14.341000000000001,6th,4th
Tzuyu,Dahyun,1,0,0.1607142857142857,0.14285714285714285,5th,7th,0.171132872720552,0.25723369022204506,9th,7th,14.341000000000001,14.16,4th,5th
Tzuyu,Jihyo,1,0,0.1607142857142857,0.23214285714285712,5th,4th,0.171132872720552,0.40535364046980177,9th,2nd,14.341000000000001,17.72,4th,2nd
