source,target,num_occurences,is_common,source_btwn_c,target_btwn_c,source_btwn_c_rank,target_btwn_c_rank,source_eigen_c,target_eigen_c,source_eigen_c_rank,target_eigen_c_rank,source_duration,target_duration,source_duration_rank,target_duration_rank
Chaeyoung,Jeongyeon,1,0,0.02827380952380952,0.22619047619047616,8th,1st,0.10880770093320019,0.22960204066098763,9th,8th,3.76,27.741,9th,3rd
Dahyun,Chaeyoung,1,1,0.1607142857142857,0.02827380952380952,3rd,8th,0.33735407243032645,0.10880770093320019,5th,9th,7.973000000000001,3.76,8th,9th
Dahyun,Jihyo,4,1,0.1607142857142857,0.13244047619047616,3rd,4th,0.33735407243032645,0.3721080642555492,5th,3rd,7.973000000000001,39.92000000000001,8th,1st
Jeongyeon,Dahyun,3,0,0.22619047619047616,0.1607142857142857,1st,3rd,0.22960204066098763,0.33735407243032645,8th,5th,27.741,7.973000000000001,3rd,8th
Jeongyeon,Mina,1,0,0.22619047619047616,0.2217261904761905,1st,2nd,0.22960204066098763,0.4864762002544776,8th,1st,27.741,37.238,3rd,2nd
Jeongyeon,Momo,4,0,0.22619047619047616,0.07291666666666667,1st,7th,0.22960204066098763,0.23095750215269933,8th,7th,27.741,10.928,3rd,6th
Jihyo,Jeongyeon,4,1,0.13244047619047616,0.22619047619047616,4th,1st,0.3721080642555492,0.22960204066098763,3rd,8th,39.92000000000001,27.741,1st,3rd
Jihyo,Nayeon,1,1,0.13244047619047616,0.09226190476190474,4th,6th,0.3721080642555492,0.4647992639671969,3rd,2nd,39.92000000000001,21.700000000000003,1st,5th
Jihyo,Tzuyu,4,0,0.13244047619047616,0.12797619047619047,4th,5th,0.3721080642555492,0.3515528992345793,3rd,4th,39.92000000000001,26.66,1st,4th
Mina,Momo,2,1,0.2217261904761905,0.07291666666666667,2nd,7th,0.4864762002544776,0.23095750215269933,1st,7th,37.238,10.928,2nd,6th
Mina,Nayeon,2,1,0.2217261904761905,0.09226190476190474,2nd,6th,0.4864762002544776,0.4647992639671969,1st,2nd,37.238,21.700000000000003,2nd,5th
Mina,Sana,1,1,0.2217261904761905,0.008928571428571428,2nd,9th,0.4864762002544776,0.2313943549727796,1st,6th,37.238,10.86,2nd,7th
Mina,Tzuyu,1,1,0.2217261904761905,0.12797619047619047,2nd,5th,0.4864762002544776,0.3515528992345793,1st,4th,37.238,26.66,2nd,4th
Momo,Jeongyeon,3,1,0.07291666666666667,0.22619047619047616,7th,1st,0.23095750215269933,0.22960204066098763,7th,8th,10.928,27.741,6th,3rd
Momo,Mina,1,1,0.07291666666666667,0.2217261904761905,7th,2nd,0.23095750215269933,0.4864762002544776,7th,1st,10.928,37.238,6th,2nd
Momo,Nayeon,1,1,0.07291666666666667,0.09226190476190474,7th,6th,0.23095750215269933,0.4647992639671969,7th,2nd,10.928,21.700000000000003,6th,5th
Momo,Sana,1,0,0.07291666666666667,0.008928571428571428,7th,9th,0.23095750215269933,0.2313943549727796,7th,6th,10.928,10.86,6th,7th
Nayeon,Dahyun,1,1,0.09226190476190474,0.1607142857142857,6th,3rd,0.4647992639671969,0.33735407243032645,2nd,5th,21.700000000000003,7.973000000000001,5th,8th
Nayeon,Jihyo,3,1,0.09226190476190474,0.13244047619047616,6th,4th,0.4647992639671969,0.3721080642555492,2nd,3rd,21.700000000000003,39.92000000000001,5th,1st
Nayeon,Mina,1,1,0.09226190476190474,0.2217261904761905,6th,2nd,0.4647992639671969,0.4864762002544776,2nd,1st,21.700000000000003,37.238,5th,2nd
Sana,Mina,1,0,0.008928571428571428,0.2217261904761905,9th,2nd,0.2313943549727796,0.4864762002544776,6th,1st,10.86,37.238,7th,2nd
Sana,Tzuyu,1,1,0.008928571428571428,0.12797619047619047,9th,5th,0.2313943549727796,0.3515528992345793,6th,4th,10.86,26.66,7th,4th
Tzuyu,Dahyun,1,0,0.12797619047619047,0.1607142857142857,5th,3rd,0.3515528992345793,0.33735407243032645,4th,5th,26.66,7.973000000000001,4th,8th
Tzuyu,Jihyo,2,0,0.12797619047619047,0.13244047619047616,5th,4th,0.3515528992345793,0.3721080642555492,4th,3rd,26.66,39.92000000000001,4th,1st
Tzuyu,Mina,1,1,0.12797619047619047,0.2217261904761905,5th,2nd,0.3515528992345793,0.4864762002544776,4th,1st,26.66,37.238,4th,2nd
Tzuyu,Nayeon,1,0,0.12797619047619047,0.09226190476190474,5th,6th,0.3515528992345793,0.4647992639671969,4th,2nd,26.66,21.700000000000003,4th,5th
